Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities",Original Job Title,New Job Title,Major Role Group,Minor Sub-Group,Borderline Level,Justification
Applications Specialist,"Position for a BCBA on the Behavior Support Team (BST) under the SEL/Student Support Services Department primarily supporting a cluster of schools within the district. Responsibilities include building capacity at the school level through training MNPS employees in implementation of evidence-based practices and behavior analytic strategies, providing behavior support through consulting, modeling and coaching of strategies across all three tiers to school staff, and conducting functional behavior assessments and/or analysis. ","Master's Degree  in counseling, psychology, education or related field Required"," Experience using Excel, Powerpoint and other technology related to staff training and data analysis  Required","Provides observations of students referred to BCBA by school team, makes behavior recommendations, assists with implementation by modeling secondary interventions, provides coaching and feedback to school staff, and focuses on building capacity.
Conducts functional behavior assessments (and analyses, if warranted) utilizing direct and indirect assessments, develops behavior intervention plans, and develops safety plans, if warranted. Maintains student on caseload while monitoring data and modifying plan as indicated by data.
Develops and conducts professional development for MNPS staff on behavior analytic practices and evidence-based procedures to support all tiers within the general education setting. Professional development may also be customized to meet the needs of the individual schools.
Supports teachers in classroom management through observations, individualized consultations, modeling of strategies, and providing feedback.
Serves as an external behavior coach to schools, including those employing RTI2-B (PBIS), by attending their monthly MTSS meetings, developing data collection systems, analyzing school wide behavior data, and ensuring continuous & effective implementation of tiered strategies.
Works in conjunction with Cluster Support Teams to address student, school and district needs/priorities including social-emotional needs; attends district, quadrant, school and team meetings, as needed; completes action items as assigned.
Provides direct services to students in crisis through verbal de-escalation and maintaining their safety and the safety of others.
Collaborates with outside service providers including university and state professionals in support of research and implementation of evidence-based practices.
Complies with both MNPS and BACB standards in ethical handling and management of student data, documentation.
Maintain good standing and certification through the requirements of the BACB, complete annual renewal of certification, maintain state licensure requirements set by TN Dept of Health, and comply with the BACB’s ethical code of conduct."," Board Certified Behavior Analyst (BCBA) Upon Hire Required
 Ability to obtain TN License (LBA) within 1 Year Required","Effective communication and collaboration as a multi-disciplinary team member.
Ability to train on behavior analytic topics within small and large group settings",Applications Specialist,Behavior Support Therapist,Therapist,,,"Matches the Therapist KSACs, including Therapiy Techniques, Client Assessment, and Crisis Intervention."
Coordinator of Career Readiness Frameworks,"The job leads the development and implementation of systems that support school-level innovation aligned to the district's career readiness goals. This role works across teams to promote operational and instructional models that integrate postsecondary and workforce preparation into the student experience. Although housed within the CCR Systems team, this role partners closely with the Director of Career Academies, as well as Counseling, Advanced Academics, and school leadership, to ensure efforts are cohesive, student-centered, and outcomes-driven. The Coordinator is responsible for supporting schools in building scalable practices that connect classroom learning with career pathways, EPSOs, and transition planning. The Coordinator of Career Readiness Frameworks ensures that career readiness is not siloed, but fully integrated into how schools prepare students for postsecondary success.",,,"Career Readiness Systems Design: Develop and support school-level frameworks that integrate EPSOs, credential attainment, and work-based learning into the broader student experience.
School Innovation Support: Guide schools in designing and implementing innovative instructional or structural models that increase career alignment and readiness, with a focus on long-term sustainability and equity.
Strategic Collaboration: Partner with the Directors of Career Academies, Counseling and Advising, and Advanced Academics to ensure career readiness work complements other readiness systems.
Tool and Resource Development: Create resources and planning tools that help school teams design, implement, and sustain career readiness frameworks.
School Support and Communication: Maintain strong communication with school-based leadership teams and staff to ensure clarity, alignment, and progress monitoring.
Professional Learning Logistics: Support logistics and coordination of PD related to career readiness, instructional model design, or innovative school practices.
Data Collaboration: Collaborate with CCR Systems and data teams to monitor implementation of school-based career readiness strategies and support data-informed improvement.
Cross-Team Integration: Ensure alignment between school innovation efforts and district priorities around advising, pathway development, and readiness outcomes.",,,Coordinator of Career Readiness Frameworks,Career Readiness Advisor,Advisor,,,"Advisory and framework design role; no budget control.. Demonstrates program leadership and resource allocation responsibilities, distinguishing it from Advisor roles."
Coordinator of Advanced Academics,"The position supports the districtwide implementation of rigorous academic programming, including Dual Enrollment (DE), Advanced Placement (AP), International Baccalaureate (IB), Cambridge AICE, and honors courses. This role ensures that educators and school leaders have the resources, tools, and support they need to offer accessible, high-quality instruction in advanced courses. The Coordinator plays a key role in supporting the development of strong honors classes that serve as an on-ramp to Early Postsecondary Opportunities (EPSOs), and collaborates with other CCR and school-based staff to increase student participation and success in advanced academics. This position requires a collaborative, detail-oriented leader who is committed to expanding access to challenging coursework and increasing student success in advanced academic pathways. The Coordinator ensures that honors and advanced programs are implemented effectively and aligned with the district's college and career readiness goals.",,,"Program Coordination: Maintain and manage resources that support implementation of DE, AP, IB, AICE, and honors programming, including program maps, course guidance, and aligned instructional tools.
Data and Program Monitoring Collaboration: Collaborate with CCR Systems and data staff to support monitoring of enrollment, participation, and student outcomes in advanced academics to drive continuous improvement and promote equity.
Instructional Support: Coordinate the distribution and support of curriculum resources and academic supports to help ensure consistent delivery of advanced coursework aligned with national and state expectations.
Demonstrate Proactive Leadership: Identify areas for growth or system refinement and initiate improvements without prompting; serve as a thought partner and problem-solver in advancing the vision for advanced academics across the district.
Manage Resources for Program Implementation: Collaborate with the Director of Advanced Academics to plan and manage local, grant, and other program-specific budgets to ensure timely, efficient, and impactful implementation of advanced academic programs.
School Support: Serve as a primary point of contact for advanced academics implementation questions from teachers, counselors, and school leaders. Provide timely, practical support aligned with instructional and program expectations.
Honors and EPSO Pathway Support: Support the development of strong, aligned honors pathways that prepare students for participation and success in EPSOs. Identify and promote strategies to build student confidence and readiness.
Communication and Training: Provide clear, consistent communication to school-based staff regarding timelines, program updates, assessment logistics, and professional learning opportunities.
Collaboration: Partner with the Advanced Academics Coach, Director of Advanced Academics, and Counseling staff to ensure programs are equitably implemented and well-aligned with advising and student planning systems.
Professional Learning Logistics: Support the coordination and delivery of professional development aligned to advanced academic instruction and program implementation.",,,Coordinator of Advanced Academics,Advanced Academics Coordinator,Coordinator,,,"Cross-program fiscal and strategic leadership. Demonstrates program leadership and resource allocation responsibilities, distinguishing it from Advisor roles."
Data Quality & Integrity Specialist,"Supports the efficiency, reliability, and effectiveness of the Kronos Timekeeping System and Timekeepers.  Ensures that the Kronos time and attendance application correctly reflects MNPS business rules and operates with high performance and availability. ",Bachelor's Degree  Required, Multi-location organization experience with 5000+ employees and operating version WFC 7.0 a plus Required,"Collaborates with Human Capital / Payroll / Timekeepers / Supervisors and IT to translate functional business requirements into technical specifications and designs to create pay rules, interfaces, reports, etc.
Supports Kronos Administrator to develop and maintain a list of Kronos enhancements and projects.
Provides technical leadership and expertise to various levels of staff, including presentations and training-the-trainer instruction, as required.
Provides technical support within the Kronos application including setups for new department / schools, profiles, pay codes, pay rules, queries, update holidays, modify employee records, and other setups required for both browser-based and Kronos 9000 series InTouch data capture devices.
Creates and maintains custom reports as required.
Assists Kronos Administrator in Troubleshooting issues including determination of root cause and follow-up remediation.
Provides support to timekeepers and management concerning application and payroll processes.
Keeps up-to-date technically and applies new knowledge to work.", Current computer certifications are desirable  Preferred,"Strong knowledge in manipulating and using relational databases such as Oracle, MS-SQL, etc.
Experience in implementing, converting, upgrading and maintaining Kronos Time & Attendance modules including writing pay rules for various business requirements.
Excellent analytical and problem-solving skills.
Strong written and verbal communication skills, including ability to interact face-to-face with principals/department head and employees.
Experience supporting Kronos 9000 series InTouch devices and browser-based data capture a plus.
Knowledge and experience using EBS HRMS/Payroll a plus.",Data Quality & Integrity Specialist,Kronos Specialist III,Specialist,III,,"Matches the Specialist KSACs, including Industry Specific Knowledge, Subject Matter Expertise, and Advanced Technical Skills. Due to the high complexity, span of control, and freedom to act, position is a level 3."
Spec IT Field Support,"Provides direct customer support and technical assistance to technology users in schools and other MNPS facilities.  Performs support tasks including hardware support for computers, printers, LCD projectors, and other ancillary technology hardware. Provides direct support to Windows and Apple (Mac OS and IOS) based devices. Installs miscellaneous software.  Creates and updates automated records of work performed. This job requires daily ad hoc travel in personal vehicle.", Post-secondary degree in technology or business field  Preferred, Two years’ experience in field end-user support in customer service-focused enterprise computing environment setting Preferred,"Promotes and supports the use of technology as an effective teaching and productivity tool supporting innovative thinking and problem solving.
Advocates and models safe, legal and ethical use of digital information and technology, including respect for copyright, intellectual property, and the appropriate documentation of resources.  Advocates compliance with all district information technology policies.  Reports violations as required.
Installs and configures end-user technology systems/equipment in accordance with standardized MNPS procedures.
Triages user requests for assistance based on the impact to the teaching and learning process and various other factors.
Documents repair actions and other customer assistance activities. Processes equipment requiring repairs or upgrades in concert with other MNPS IT Support activities.
Applies troubleshooting techniques and resolves basic network problems.
Conducts ad hoc user technology training.
Supports the integration of technology into the curriculum.","DL NUMBER - Driver License, Valid and in State Valid Tennessee Driver’s License   Required
 Current Microsoft, Cisco, A+ or Network Plus certifications  Preferred",,Spec Accelerating Scholars Data,Accelerating Scholars Data Analyst,Analyst,,,"While the qualifications for the role are in line with that of other specialist roles, a bachelor’s degree and 1-3 years of experience, no specialized experience, knowledge, or degree is required. Furthermore, the essential functions of the role match more with the Analyst KSACs than any other classification. Data analysis and analytical thinking are used constantly in the role, as well as industry trends and ensures accountability, which is used in the creation of reports to governmental and other external agencies regarding the district’s grants."
Executive Director of Counseling and Advising,"The position leads MNPS's vision and execution of a districtwide, equity-centered counseling and advising strategy. This role ensures students receive high-quality academic, social-emotional, and postsecondary guidance by building aligned systems that support counselors, advising teams, and transition planning. The Executive Director leads the development of Tiered Transition Planning and advising practices aligned to the Portrait of a Graduate, ensuring that all students graduate with a personalized plan and the tools to pursue it. This position connects departmental efforts directly to district strategic goals around postsecondary access, equity, and student success.",,,"Strategic Vision & Program Leadership: Set a comprehensive vision for K–12 advising and counseling that aligns with district priorities, Ready Graduate goals, and the MNPS Portrait of a Graduate.
K–12 System Design & Oversight: Design and oversee advising systems and tools that span all grade bands, with distinct attention to developmental needs and strategic postsecondary planning.
Equity-Focused Systems Development: Develop systems that proactively address advising and access gaps for historically underserved students through data-informed design and intervention.
Performance & Practice Standards: Define performance expectations for school counselors and CCR advisors; establish systems to monitor and support implementation.
Capacity Building: Lead the development and delivery of professional learning for school counselors, CCR coaches, and advising teams aligned to state and national standards.
Integrated Transition Planning: Ensure consistent implementation of Tiered Transition Planning, including the Four-Year and Beyond Plan, across all schools and grade levels.
Data-Driven Decision-Making: Use advising and transition data to identify advising trends, measure outcomes, and drive continuous improvement in postsecondary advising systems.
Cross-Functional Collaboration: Work closely with CCR directors and school leaders to embed advising strategies across advanced academics, career pathways, and instructional programming.
External Partnership Management: Represent MNPS in advising-related initiatives with postsecondary partners, scholarship organizations, and external advocacy groups.
Continuous Improvement & Innovation: Lead cycles of improvement that refine advising structures and ensure they adapt to evolving postsecondary demands.
Cross-Department Alignment: Ensure advising and counseling strategies are tightly integrated with teaching and learning, SEL, and other districtwide initiatives.
Policy & Advocacy: Monitor changes in advising and postsecondary policy, advocate for reforms that benefit MNPS students, and support alignment with state initiatives.
Resource Stewardship: Manage budgets, human capital, and external resources to ensure schools are supported in delivering consistent, high-impact advising services.",,,Executive Director of Counseling and Advising,Counseling and Advising Executive Director,Executive Director,,,"Leads districtwide advising vision, policies, equity systems. Demonstrates strategic leadership, project oversight, and team management responsibilities."
Learning Systems Specialist,"Provides student care, assists in the safe transporting of students to classrooms or busses, and monitors/documents student behavior, medical incidences and IEP goals.",High School Diploma or GED Required,1-3 years Applicable experience  Required,"Assists students with personal care, including changing diapers, feeding students, positioning, and assisting toileting.
Loads/unloads buses and makes sure walk-ons are securely seated (car seat, booster, seat belt, harness).
Assists teacher with all classroom activities including IEP implementation
Assists students in getting to class and assists related arts teacher with lessons.
Helps maintain clean/germ free environment by sanitizing equipment, doing laundry, and washing student dishes on a daily basis.
Accompanies students on community-based field trips.
Monitors and logs student behavior information, such as frequency, duration, and antecedents. Also logs student IEP goal information, such as time on task and level of assistance needed.
Monitors and logs student seizure episodes.",,,Learning Systems Specialist,Classroom Aid,Aide,,,"Matches the Aide KSACs, including child development and safety protocols."
Special Project Coordinator,"The role provides project management, operational, and administrative support to the project and change management teams. The role will manage low, minimum risk projects, focus on specific deliverables, parts of projects, and/or sub-projects with scheduling, organizing, data gathering, progress updating, recordkeeping, and reporting. 

","Bachelor's Degree in management, analytics, or related field Required", 6 years of related work experience demonstrating increasing levels of responsibility Required,"Responsible for the management and deliverance of low-risk projects.
Support Project Managers with execution of projects, scheduling, reporting, and others as requested.
Assist in monitoring and managing project progress and performance. Provide updates stakeholders and team members.
Monitor and track all risks related to projects
Perform administrative and budget management tasks related to project management team, including but not limited to managing invoices, purchase orders, and other documentation as needed.
Review and organize project documentation, reports, invoices, contracts, and other files for easy access.
Schedule meetings, complete meeting materials, such as agendas and minutes, and perform follow-ups as needed.
Coordinate events for project management team, including arranging facility, invitations, equipment, etc.
Perform timely data analysis for all current projects",,"Ability to conduct research, perform data analysis, and present findings.
Advanced application of MS Excel.
Experience with Power BI desirable.
Strong understanding of project management.
Strong customer service orientation.
Drive to be successful.
Problem-solving skills.
Ability to effectively prioritize and execute tasks in a timely manner.
Strong written, oral, and interpersonal communication skills.
Ability to communicate appropriately across the organization, business, technical and user language while ensuring mutual comprehension.
Highly self-motivated and directed with keen attention to detail.
Team-oriented and skilled in working within a collaborative environment.",Special Project Coordinator,Assistant Manager Projects,Manager,,,"Matches the KSACs for Manager, including Project Management, and Task Delegation"
Spec Boundary Planning,"Maintains the multiple databases of ArcGIS and Edulog boundaries to ensure integrity for student assignment, student projections and various special studies.

","Bachelor's Degree from an accredited college 	or university Preferred"," Proven work experience and Microsoft Office products including Word, PowerPoint and Access  Required","Develop and maintain school attendance boundaries utilizing ArcGIS and Edulog software .
Maintain a geo-database of currently enrolled students.
Develop and maintain Student Assignment maps and generate various custom maps for other MNPS departments by using ArcGIS software.
Interface with the Transportation Department to perform boundary editing and provide updates to zoning boundaries in the Edulog software.
Perform various demographic analyses and generate reports.
Assist in generating annual and semi-annual student enrollment projections.
Assist other Student Assignment staff members with technical assistance using Microsoft Office and other applications.
Performs other duties or tasks as required or assigned which are reasonably within the scope of the responsibilities in this job classification.",,"Working knowledge of GIS software is desirable
Strong computer and data entry skills
Ability to read and interpret a map
Comprehension of student assignment terminology and overall operations of same
Understanding of GIS principals
Familiarity with District
Ability to adapt to a continual changing work environment
Ability to interact with multiple departments within the Metro system on a daily basis
Ability to work extra/overtime hours as needed during peak operational periods
Proven organizational and communicational skills",Spec Central Intake,Central Intake Clerk,Clerk,,,"The qualifications for this role do not match those of other specialists, only requiring a high school diploma or equivalent. Furthermore, the role does not act as a subject-matter expert or provide any real expertise that implies a specialist. The role is mostly clerical, receiving and documenting, reconciling and maintaining data, creating various reports, and filing materials. These fit best with the clerk KSACs, including data entry, filing systems, record-keeping practices, and computer skills."
"Business Support Specialist, Nutrition","The District School Nutrition Executive Director will oversee all aspects of the district School Nutrition Program (SNP) operation. The job functions include administrating, planning, directing assessing, implementing, and evaluating the program in order to meet the nutritional and educational needs of children, as they relate to the SNP. The school nutrition professional shall partner with others in the school district and community to solicit support for the development of a sound nutrition assistance food program while following federal, state, and local guidelines. The SNP is to provide an environment that supports healthy food habits while maintaining program integrity and customer satisfaction.",Master's Degree  Preferred, Such alternatives to the above qualifications as the Board may find appropriate and acceptable Required,"General Management and Leadership:_x000d_
 â€¢ Provide collaborative leadership and supervision that fosters a positive workplace environment and open channels of communication throughout the School Nutrition Department._x000d_
 â€¢ Employs management techniques to maintain an effective and efficient SNP._x000d_
 â€¢ Develops short and long term goals through strategic planning for the district school food service program that supports the philosophy and policies of the Board of Education._x000d_
 â€¢ Implements policies and procedures to ensure the effective operations of CNPs._x000d_
 â€¢ Develops a long-range program for establishing professional status for the CNPâ€™s role in the education community._x000d_
 â€¢ Analyze current operations, reviews current research information to determine health and nutrition-related trends and food service management developments; and develops innovative program changes and expansions for MNPS SNP based on this information
Personnel Management_x000d_
 â€¢ Develops methods for hiring, training, and evaluating personnel that recognize education, experience, performance, and certification._x000d_
 â€¢ Interview, screen, and recommend appointment of all School Nutrition personnel.  Makes recommendations to Human Resources concerning retention, promotion, demotion, discipline, and other Human Resources functions._x000d_
 â€¢ Implements personnel policies and procedures for the SNP according to local, state, and federal regulations and laws._x000d_
 â€¢ Develops job performance standards that provide for performance improvement._x000d_
 â€¢ Establishes standards for the professional development of the districtâ€™s CNP personnel.
Customer Service_x000d_
 â€¢ Implements a district-wide customer service driven philosophy that focuses on value and satisfaction._x000d_
 â€¢ Build and maintain positive relationships with community support organizations interested in nutrition, healthy living, and serving children._x000d_
 â€¢ Establishes quality standards for the presentation and service of food.
Marketing_x000d_
 â€¢ Develops a marketing plan to attract students, parents, teachers, administrators, support staff, and community._x000d_
 â€¢ Conducts an on-going evaluation of the marketing plan._x000d_
 â€¢ Work with MNPS personnel in the development of Nutrition Services guidelines options and opportunities pertaining to Charter Schools._x000d_
 â€¢ Communicates program information to encourage and secure support for the school food and nutrition program from the Board of Education, administrators, faculty, students, parents, and community._x000d_
 â€¢ Implements a plan for providing food service for special functions consistent with Board of Education policies._x000d_
 â€¢ Communicates with media relating to SNP operations and issues._x000d_
 â€¢ Build and maintain relationships with State and National professional organizations focused on school nutrition services (SNA, TSNA, etc.)
Sanitation, Food Safety, and Employee Safety_x000d_
 â€¢ Establishes procedures to ensure that food is prepared and served in a sanitary and safe environment._x000d_
 â€¢ Develops and integrates employee safety regulations into all phases of the school food service operation._x000d_
 â€¢ Establishes procedures and policies for risk management.
Financial Management and Recordkeeping_x000d_
 â€¢ Establishes measurable financial objectives and goals for the CNP._x000d_
 â€¢ Manages the CNP using appropriate financial management techniques._x000d_
 â€¢ Implements efficient management techniques to ensure all records and supporting documentation are maintained in accordance with local, state, and federal laws and policies._x000d_
 â€¢ Insure that Free and Reduced applications are processed in a timely and accurate manner._x000d_
 â€¢ Make application for federal subsidies.  Distribute federal funds to various school lunch and school breakfast programs
Food Production_x000d_
 â€¢ Develops procedures to ensure the food production system provides safe nutritious, healthy food of high quality._x000d_
 â€¢ Ensures operational procedures for efficient and effective food production and distribution.
Procurement_x000d_
 â€¢ Develops purchasing guidelines to ensure purchased food and supplies reflect product knowledge, customer preferences, district needs, policies, and nutrition objectives._x000d_
 â€¢ Implements a cost-effective procurement system in cooperation with MNPS purchasing procedures._x000d_
 â€¢ Establishes standards for receiving storing, and inventorying food and non-food supplies based on sound principles of management._x000d_
 â€¢ Make application for government surplus food for school cafeteria use, and direct the distribution and transfer.
Program Accountability_x000d_
 â€¢ Ensures CNP compliance with all local, state, and federal laws, regulations, and policies._x000d_
 â€¢ Provides technical assistance and training for school food service personnel, school administrators, and other school support staff._x000d_
 â€¢ Develops guidelines for providing services in response to disaster or emergency situations.
Nutrition and Menu Planning_x000d_
 â€¢ Assesses customer preferences, industry trends, and current research to plan menus that encourage participation in the SNP._x000d_
 â€¢ Ensure that menu options are healthy, promote a positive lifestyle example, and address current health priorities._x000d_
 â€¢ Develops cost-effective menus that maintain nutrition integrity and meet all local, state, and federal guidelines and regulations._x000d_
 â€¢ Works with school staff, teachers, parents, and physicians to plan menus for children with special nutrition needs.
Facility Layout and Design and Equipment Selection_x000d_
 â€¢ Assists with designing and planning facilities that ensure high quality customer service, wholesome food production, and efficient workflow._x000d_
 â€¢ Determines equipment needs and specifications consistent with program needs and budget.
Environmental Management_x000d_
 â€¢ Develops and implements policies and procedures to ensure environmental responsibility._x000d_
 â€¢ Establishes a waste management system for the SNP that is effective, economical, and environmentally safe.
Computer Technology_x000d_
 â€¢ Implements management information systems that increase the productivity and efficiency of the school food and nutrition operation._x000d_
 â€¢ Ensures that staff is trained to use computer technology in individual school sites to improve management techniques.", School food service certification  Preferred,,"Business Support Specialist, Nutrition",School Nutirition Coordinator,Coordinator,,,"Matches the KSACs for Coordinator the best, including Project Management, Task Delegation, Team Coordination, and Budget Management."
