Job Title,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities",job_title_original,new_job_title,major_role_group,minor_sub_group,grouping_justification
Therapist Audiology,"Support the identification, intervention and education of children with hearing loss. Will assess and evaluate the degree of hearing impairment; assist in determining an appropriate educational program; provide liaison with community agencies; monitor condition of equipment and educate parents to intervention and educational resources. Actual responsibilities may range depending on the needs of the educational program.",Doctoral Degree in Audiology is Required, Experience in social services/health services Required,"Conduct comprehensive audiologic evaluation of students utilizing a variety of assessment techniques; evaluate and interpret the range and degree of impairment; confer with parents, teachers, and administrators; attend and participate in individualized educational program meetings, S-Team meetings and 504 meetings.
Collaborates/consults with all stakeholders in the management of hearing loss as it relates to literacy, communication skills, and the impact on learning. Provides coaching and trainings to stakeholders when appropriate.
Participates in continuing education opportunities related to current hearing assistive technology to provide optimal connectivity so students have access to auditory instruction.
Makes impressions for ear molds, writes reports, and monitors students’ use of hearing aids, cochlear implants and hearing assistive technology.
Supports and consults with Teachers of the Deaf/Hard of Hearing regarding but not limited to accommodations, hearing assistive technology and related areas of need. May provide functional, educationally relevant assessments in schools/classrooms.
Counsels and educates students and families regarding the effects of hearing loss, types of amplification, hearing assistive technology and noise conservation.
Manages referrals with Lead Teacher of Deaf/Hard of Hearing Services and other stakeholders.  Coordinates developing reports and attending meetings as needed.
Oversees the comprehensive service plan for equipment, including repairs.  Manages the timeline for calibration of hearing equipment.", School Services Personnel License from the State of Tennessee DOE  Required,"Thorough knowledge of the principles, practices and procedures of special education and/or specialty area.
Demonstrated knowledge of the Individual’s with Disabilities Education Act (IDEA) and other disability civil rights laws including the Americans with Disabilities Act (ADA) and Section 504 of the Rehabilitation Act.
Knowledge of best practices in parent/professional training for adult learners with disparate learning styles and abilities
Communication, and collaboration with Parents, educators, students,
Organization, data-based decision making, and problem solving,
Technology skills: Teams, Microsoft Office, Excel, SharePoint, iOS, and/or other district applications or equipment as needed.",Therapist Audiology,Audiology Therapist I,Therapist,I,"The position summary, essential functions and implied responsibilities aligns with the functional role of a therapist specializing in audiology. A review of education, work experience, licenses, and Knowledge, Skills and Abilities attributes suggests it is classified at the entry-level (I) within the Therapist major role group. This classification assumes foundational responsibilities and competencies typical of an entry-level audiology therapist, pending further details on education, work experience, and essential functions."
Therapist Music,"The Music Therapist provides music therapy sessions to assigned students, utilizing clinical and evidence-based assessments and music interventions to accomplish individualized goals. The Music therapist completes consultations, assessments, treatment plans and session plans with developmental and academic standards in place.","Master's Degree or additional degrees in music therapy, special education or related field  Preferred",1-3 years school system music therapy experience  Preferred,"Travels daily to assigned schools to deliver music therapy services to specific students as outlined in their IEPs.
Maintains and provides daily documentation through data within domain areas in the IEP.
Promotes a positive classroom environment through well delivered therapeutic interventions.
Provides music therapy to students as outlined in eligible students’ Individual Education Programs.
Participates in IEP meetings and suggests if student is eligible for music therapy based on data and collaboration with IEP team members.
Maintains up to date record keeping documenting progress on IEP goals and updates IEP goals and progress reports as required.
Collaborates with school teams regarding individual needs of students that the music therapist serves in addition with consulting with school teams for those students who do not have music therapy as a service.
Maintains a schedule to ensure all students are receiving services.
Provides professional learning to other educators and classroom support throughout the district."," Valid certification from the Certification Board for Music Therapists. MTBC (Music Therapist-Board Certified)  Required
Teaching Certification/License Instrumental/General Music K-12 or Vocal/General Music K-12 endorsement  Required","Written and oral communication.
Classroom management skills.
Excellent organizational skills.
Knowledge of and ability to use various computer programs such as word processing, database, spreadsheet, calendar and email, and current music programs.",Therapist Music,Music Therapist I,Therapist,I,"The position summary, essential functions and implied responsibilities aligns with the functional role of a therapist providing therapeutic services through music. A review of education, work experience, licenses, and Knowledge, Skills and Abilities attributes suggests the role is classified at the entry-level (I) within the Therapist group. This classification assumes foundational knowledge and skills in music therapy, with potential for growth into higher sub-groups as experience and responsibilities increase."
Tutor III Certificated,"Tutors will provide direct literacy and/or math instruction to identified students in the assigned school(s).  Tutors will utilize the provided curriculum materials and work in collaboration with classroom teachers to deliver instruction and assess student progress.  Tutors will maintain accurate and timely attendance and progress monitoring data. Tutors will provide student progress updates to families via monthly progress reports.
",Bachelor's Degree  Required, Minimum of 1 year of related experience Preferred,"Provides direct literacy or math instruction to identified students in small group settings of no more than three students per session (K-5th grade) or 4 students per session (6th-8th grade) using provided curriculum materials.
Completes required academic progress monitoring assessments with students and logs assessment results in required system(s).
Ensures that students receive the intended amount of tutoring by meeting with students at least twice a week for a minimum of 90 total minutes per week.
Maintains accurate attendance records by marking attendance in MNPS’ online tutoring platform after each tutoring session.
Provides monthly progress updates to families using provided progress reports.
Collaborates with school staff and faculty to assess the needs of children and to determine how best to address those needs.
Participates in educational team meetings, including ongoing professional development and review of progress.", Must hold or be eligible for a certificate or license issued by the Tennessee Department of Education with an applicable endorsement,"Excellent verbal and written communication skills, present information accurately and clearly.
Demonstrate patience, encouragement and understanding when working with students
Must be flexible to meet the needs of the students and the school
Knowledgeable in the use of standard office computer programs and a variety of educational programs
Excellent analytical and organizational skills
Must be able to motivate students using mature judgment, initiative, tact, flexibility and emotional stability",Tutor III Certificated,Certificated Tutor III,Tutor,III,"The role 'Tutor III Certificated' aligns with the Tutor major role group due to its focus on providing specialized educational support. The 'III' sub-grouping indicates an advanced level of responsibility and expertise, likely involving significant experience or certification requirements. This classification is based on eview of education, work experience, licenses and Knowledge, Skills and Abilities attributes emphasis on certification and the implied progression in the tutoring role hierarchy."
Writer Service,"To accurately interpret description of mechanical malfunctions explained by driver; to translate and record these problems and complaints into technical terminology on work orders. Person must have strong oral and written communication, computer skills are required and experience in Tyler Fleet vision is a plus.", Graduate of Auto Diesel School Desired Preferred,4-6 years Experience as a certified service writer Supervisor in a repair facility responsible for maintenance of three hundred (300) or more vehicles Preferred,"Preventative Maintenance:  Prepare annual service schedule for all buses and support vehicles.  Inform the Shop Foreman when driver fails to show for scheduled service.  Prepare and submit twenty-four (24) hours in advance to Shop Foreman work orders for scheduled services.  Assure the Safety Bus Inspection Form is completed properly and filed.
Corrective Maintenance:  Prepare work orders for drivers coming into the Shop for repairs to buses or vehicles.  Properly interpret driver explanation of malfunctions/repairs needed and translate to technical terms for mechanics to understand.  Assure each driver signs work order and understands what you have recorded as needing repairs.  Submits signed work orders to Foreman for work assignments.
Open and close work orders in computerized fleet maintenance software.  Records mechanic time on work orders and time schedules to ensure productivity is being maintained.
Assists Fleet Manager as needed in generating reports.
Maintains records for each system vehicle.
Possesses strong vehicle mechanical diagnostic skills and ability to communicate needed repairs with shop personnel.
Keeps record of all buses and there assignments", Service writer certification   Preferred,"Strong computer skills including Microsoft Word, Excel and Access.
Ability to adjust to early or late shifts as needed.
Knowledge of Federal, State and Local Laws governing school buses and knowledge of OSHA Compliance regulations.
Ability to work independently and possess strong decision making capability.
Strong oral and written communication skills.",Writer Service,Content Writer I,Writer,I,"The position summary, essential functions and implied responsibilities suggests a role focused on creating written content or providing writing-related services. A review of eview of education, work experience, licenses and Knowledge, Skills and Abilities attributes suggests, it is classified under the 'Writer major role group as it likely involves specialized skills in writing. The 'I' sub-group is assigned due to the absence of specific indicators of advanced responsibilities or experience requirements."
Writer Technical,"Responsible for creating technical documents, learning guides and manuals, FAQs and other technical artifacts to help improve the digital customer experience.  Explains complex information in a clear and concise manner and working with Enterprise Applications Team, provides support to other technical documentation, standard operating procedures and enterprise level communications.  ", 4 years of college or relevant experience Required,4-6 years In a technical writing role Required,"Plan, develop, organize, write and edit operational procedures, learning guides and manuals, and other technical documents.
As part of a team, interview product team(s), vendors and other subject matter experts to understand and document the technical details and then transform this information into documents and artifacts that are appropriate for use.
Analyze and edit documents to maintain continuity of style of content. Manage updates and revisions to technical documentation. Provide support to the department to improve and standardize mass communications.
Design, create and maintain a comprehensive library of technical terminology and documentation.
Research, develop and implement new technologies, documentation methodologies and best practices to continuously improve current practices around documentation.
Analyze application roadmaps, trends and organizational needs.  Work with Digital Experience & Training Manager and Product Manager to support the product roadmap and communicate it effectively.
Continually mature the organizational understanding of how to utilize the technical documents and artifacts. This may include presenting to stakeholders and/or working with the instructional designer on best practices and usage of technical documentation.",,"Strong analytical skills
Excellent written and verbal communication skills.
Understanding of enterprise level applications and data systems.
Work effectively and collaborate in cross functional teams.
Proficiency in MS Office 365 including SharePoint Online.
Strong attention to detail.
Able to write in explanatory and procedural styles for multiple audiences.
Skilled at prioritization and multi-tasking.",Writer Technical,Technical Writer I,Writer,I,"The position summary, essential functions and implied responsibilities aligns with the responsibilities of a Technical Writer, which involves creating and managing technical documentation. A review of education, work experience, licenses and Knowledge, Skills and Abilities attributes suggests the role is classified at the entry-level (I) within the Writer group, as it likely requires foundational skills in technical writing, communication, and documentation."
Worker Warehouse,"Responsible for receiving, storing, shipping, issuing, and delivery of district Facility & Grounds Maintenance Department materials/tools and other educational/custodial supplies/equipment for warehouse, off campus locations and MNPS and custodial employees. Provides assistance with the planning, coordination, and direction of district-wide warehouse support activities and performs related work as required by superior(s).","Associate's Degree in warehouse management, logistics, inventory control or equivalent is Preferred", Minimum 2 years applicable experience Preferred,"Receives, stores and monitors stock levels, organizes and issues warehouse inventory and tool supplies to ensure quality work and cost effective department warehouse operations.
Maintains inventory and budget records; assesses department warehouse needs and orders supplies as appropriate; maintains stock records.
Provides quarterly inventory spending reports in Microsoft Excel format to superiors.
Maintain department uniform inventory; conducts random and annual maintenance truck inventory, and all necessary reports and records to ensure quality work.
Operates forklift and maintains a clean, safe and organized warehouse environment.
Serves on the safety committee and represents the warehouse department.  Conducts monthly safety meetings for shop personnel.
Supports department events scheduled for warehouse loading bay area.
Department trainer for OSHA certified forklift operator training.  Operates warehouse forklift as required.","DL NUMBER - Driver License, Valid and in State   Required
Forklift Certification OSHA certified. If employee is not certified upon hire, employee must employee OSHA certified forklift training  Preferred",Industry-specific Knowledge | Technical Skills | Physical Stamina,Worker Warehouse,Warehouse Worker I,Worker,I,"The osition summary, essential functions and implied responsibilities align 'Worker Warehouse' suggests a general labor role focused on physical tasks within a warehouse environment. A review of education, work experience, licenses and Knowledge, Skills and Abilities attributes suggests it is classified under the 'Worker' major role group and assigned a minor sub-group of 'I' to indicate an entry-level position. This classification aligns with standard conventions for roles involving basic operational tasks in a warehouse setting."
Trainer Transportation Driver,"Plans, develops, and implements training programs for bus drivers to ensure safe driving practices which adhere to Federal, State and District transportation policies, rules, and regulations. This is a working position where driving a bus is required when staffing shortages occur.",High School Diploma Or Equivalent Required,"1-3 years Experience in pupil transportation activities, with demonstrated knowledge of state and federal pupil transportation rules and regulations  Required","Retrieves online applications for review. Contact prospective driver trainee to set up interview and participate in the interview process with the Transportation Service Support Manager.
Conducts classroom and behind-the-wheel training for new driver trainees in accordance with MNPS, State and Federal standards to prepare them for the CDL skills test and the work of an MNPS bus driver. Assists in developing and implementing of the Annual Driver Proficiency Test (ADPT). Keep training buses clean, fueled and maintained.
Develops, compiles, and maintains a variety of bus driver records, including license and certificate expirations, medical expirations, and required advanced training for the renewal of the bus driver certificate; monitors driver certification and renewal training programs.
Prepares Staff Development training materials and instructs Staff Development Coaches on how to teach safety classes to all Drivers.
Conducts retraining and maintain records of school bus drivers referred by the Transportation Safety Supervisor for additional instruction.
Serves on the Accident Review Board and maintains records pertaining to the Board’s action.
Drives a bus over a designated route in accordance with a specified time
schedule or on District routes as dictated by daily absenteeism or driver shortage.","  Must possess a valid State of TN Type B Commercial Driver’s License with evidence of good driving history, with passenger and school bus endorsement and a current CPR certification  Required","Effective written and verbal communication skills, ability to interact effectively with a diverse workforce.
Basic to intermediate knowledge of Office 365 suite and other software or application platforms, video equipment or other means that may be used in training adults.
Understanding of adult learning methods and ability to create measurably effective technical training programs.",Trainer Transportation Driver,Transportation Driver Trainer I,Trainer,I,"Based on position summary, essential functions and implied responsibilities, the role involves training transportation drivers, which aligns with the 'Trainer' major role group. The 'I' sub-group is assigned due to the absence of specific details indicating higher levels of complexity or seniority."
Teacher Ex Ed Comprehensive,"Designs and provides specialized instruction to students with moderate to severe/profound cognitive or developmental needs in accordance with federal, state, and district guidelines",Master's Degree from an accredited institution in a related field Preferred, Professional training and paid or volunteer experience with individuals with disabilities Preferred,"Provides direct instruction, intervention, and consultation for students on a modified curriculum that aligns to the Tennessee Alternate Assessment Standards as indicated on the Individual Educational Program (IEP).
Collaborates with general educators to plan assessments and analyze progress monitoring data to develop instructionally appropriate IEPs.
Progress monitors all students that receive intensive intervention in the area of academics, social-emotional and behavior to continually communicate progress toward goals with students, parents, and school team.
Plan and use data driven instructional strategies, resources, and equipment that reflect an understanding of the instructional needs of students.
Ensures students on a modified curriculum participate in required statewide test with appropriate accommodations and modifications.
Keep IEPs in compliance with State and Federal laws governing students with disabilities and manage paraprofessional support in the general education setting to ensure that students on a modified curriculum are in their least restrictive environment.
Schedules and facilitates IEP team meetings, re-evaluation meetings, and manifestation determination meetings in accordance with State and Federal laws governing services for students with disabilities.
Coordinates the delivery of services for students with disabilities with all related service providers (i.e.  speech and language therapist, occupational therapist, physical therapist, nurse).
Develops, implement, and monitor Functional Behavior Assessments and Behavior Intervention Plans based on student need.
Design classroom management systems and implement behavioral strategies that facilitate student learning and engagement.  Prepares physical condition of classroom to reflect subject matter and to facilitate student learning.
Collaborates with general educators and related service providers to inform instruction, determine modifications/accommodations, identify supplemental supports, assign grades, and identify inclusive opportunities for students.
Participates in ongoing Professional Development activities to ensure the use of most effective, evidenced-based practices that promote success for students.", Must hold or be eligible for a certificate or license issued by the Tennessee Department of Education with a Special Education Comprehensive Program K-12 endorsement (461)  Required,"Thorough knowledge of the principles, practices and procedures of special education and/or specialty area.
Thorough knowledge of the principles and methodology of effective teaching of students with disabilities.
Communication, and collaboration with Parents, educators, students,
Instructional strategies that connect the curriculum to the learner,
Student management,
Presenting to large groups,
Organization, data-based decision making, and problem solving,
Providing interventions.
Knowledge of the U.S. Department of Education’s Individuals with Disabilities Education Act (IDEA) or similar federal regulation.
Technology skills: Teams, Microsoft Office, Excel, SharePoint, iOS, and/or other district applications or equipment as needed.",Teacher Ex Ed Comprehensive,Exceptional Education Teacher I,Teacher,I,"The role involves teaching responsibilities in the field of exceptional education, which aligns with the 'Teacher' major role group. A rreview of education, work experience, licenses and Knowledge, Skills and Abilities attributes suggest an entry-level classification within the 'I' minor sub-group. This classification is consistent with the MNPS Roles and KSACs documents, which emphasize functional alignment with teaching and educational support roles."
Supv Transportation,"Responsible for supervising bus drivers ensure the safe, efficient, and timely transportation of Metro Nashville Public Schools (MNPS) students. Ability to make decisions based on logical reasoning and deduction using experience, education, and knowledge of pertinent laws; demonstrated skills in oral and written communication; ability to understand the overall effect of decisions made; must manage non-standard procedural assignments and resolve a wide range of logistical problems due to the number of uncontrollable variables; must understand codes, regulations, policies; interpersonal skills to work successfully with internal and external contacts; must work well under pressure; and must multitask and meet deadlines under pressure.",Bachelor's Degree In related field Preferred, Five years of related experience Required,"Lead, supervise, and manage drivers and monitors: Apply learned principles, techniques, methods, strategies, and corrective actions to manage bus drivers. Plan, coordinate, and conduct monthly cluster meetings, develop presentations, and conduct bus driver training and safety programs Schedule, observe, and evaluate emergency evacuation drills. Verify and approve time worked by bus drivers.
Plan and organize the student management program for assigned cluster: Assist bus drivers with student behavior problems. Assure bus driver has followed all necessary steps in attempting to control student behavior. Investigate the situation to identify the inappropriate behaviors and the student(s) involved. Provide documentation to school administrator in order for appropriate directions to be given
Perform routing functions for the department Plan routes, reduce overloads, and coordinate necessary route changes and updated information. Assist with input in the routing software computer program. Set bus stop addresses and verify that all stops are safe. Make adjustments in routes, schedules, and driver assignments as necessary. Determine comparable route combinations and driver route assignment.
Prepare various reports for the department: Maintain routine records such as personnel records, driver and monitor performance, telephone call logs, referral report, route time/headcount report, driver’s route assignment list, attendance data, and absentee records. Verify leave usage monthly.
Perform accident investigation functions:  Investigate and prepare written reports for school bus/support vehicle accidents.
Communication Communicate system policies and/or procedures and directives with bus managers, dispatchers, school administrators, parents, and transportation personnel, through the appropriate means of contact.
Perform Drug and Alcohol Test notification functions:Notifiy bus drivers who are randomly selected for testing via written correspondence
Conduct Bus Driver performance evaluations:Maintain, communicate, and apply the standards of job performance and personal conduct. Identify bus drivers’ strengths, weaknesses, and performance deficiencies through continuous observation, availability, and driving skills evaluation. Develop, coordinate, and schedule necessary action for continuous performance improvement. Implement progressive disciplinary actions to manage bus drivers on a daily basis.
Inclement weather: Assist in the district’s inclement weather process through inspection of assigned roads and areas as directed.",CDL - Group A - Commercial Drivers License Commercial Driver’s license with Passenger and School (P&S) bus endorsements  Required,Computer skills with proficiency in MS Office,Supv Transportation,Transportation Supervisor I,Supervisor,I,"The position summary, essential functions and implied responsibilities align with supervisory responsibilities, as indicated by ""Responsible for supervising bus drivers"" Based on the provided position summary and its implied functions, it was classified under the 'Supervisor' major role group. The minor sub-group 'I' was assigned due to the lack of additional details suggesting higher levels of complexity or seniority. This classification is consistent with the MNPS Roles and KSACs documents, which emphasize functional alignment and hierarchical structure."
Supv Maintenance and Repair Musical Instruments,"Leads a team of technicians to diagnose, repair, tune, and maintain percussion, stringed, reed, and wind instruments, developing repair schedules and managing parts inventory to ensure all instruments meet rigorous quality standards. Creates and enforces quality control protocols, troubleshoots complex technical issues, repairs or replaces instrument parts and components as needed, and trains staff in proper repair techniques and protocols to industry standards.
",Bachelor's Degree in related field  Preferred,1-3 years instrument repair in wind band and percussion or related experience  Required,"Communicate with various stakeholders, including customers (technicians, schools, band directors, etc.) Provide updates and information to stakeholders throughout the repair process.
Maintain and update inventory records in accordance with MNPS guidelines. Act as a monitor, keeping track of all instruments, tools, and other inventory. Manage procurement of any inventory or stock needed for continuing operations.
Facilitate Service Level Agreements with customers, defining the type of service and the standards of care.
Oversee and repair or replace music instrument parts and components. Reassemble instruments following repair, as needed. Oversee all routine maintenance on instruments.
Inspect and/or play instruments to determine any defects, as well as value or level of restoration required.
Manage musical repair team, including technicians. Keep track of the work done, monitor results, and provide assistance as needed.
Teach musical repair to technicians and/or other parties, acting as an instructor throughout the learning process."," Certification in musical instrument repair
  Preferred","Knowledge of technical aspects of the job and tools needed for various tasks, including budgeting software, parts and inventory management software, and procurement software.
Knowledge of up-to-date instrument repair techniques and technologies",Supv Maintenance and Repair Musical Instruments,Maintenance and Repair Supervisor I,Supervisor,I,"The job involves overseeing a team that performs maintenance and repair tasks, which aligns with supervisory responsibilities. After review of education, work experience, licenses and Knowledge, Skills and Abilities attributes, and the absence of further detailed information about the complexity of tasks or required qualifications suggests an entry-level supervisory role (I)."
