Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
Tech Grounds II,This position is responsible for the completion of necessary work to prepare sports fields for optimal use.,High School Diploma or GED Required, 2 years applicable experience Required,"Performs work order requests involving the care of sports fields including, but not limited to mowing and trimming of the fields, fence lines, and any area or building attached to those facilities and proceeds with the corrective action which is required.
Aerating, fertilizing, and/or seeding, and distributing sand to fields as required.
Installing bumper blocks, patching or filling potholes, and placing asphalt
Installing gravel for walkways
Completes work schedule in a timely manner
Maintains the assigned equipment in first class operational condition","DL NUMBER - Driver License, Valid and in State   Required","Working knowledge of equipment, materials and supplies used in grounds maintenance."
Mgr Software Engineering,"This manager will lead multiple Scrum teams responsible for analyzing, designing, and developing software enhancements and/or new products used in local, networked, cloud-based or Internet related applications.",0,0,"Lead multiple Scrum Teams through the complete project life cycle for the development of applications using modern Java and Javascript libraries, REST APIs and microservices, RDBMS, and mainframe solutions
Collaborate with product owners within an agile team to define, develop, and estimate user stories and epics
Lead/Manage cross functional teams of Business Analysts, Quality Analysts, and Software Engineers
Assist with design, development, and code reviews when necessary",,"A passion for continuous learning as well as the ability to learn quickly and apply new skills
Flexibility/Ability to be proactive, possesses good problem solving skills and the capability to find solutions and the ability to successfully meet deadlines"
Psychologist School Interim,"Interim school psychologist's role is offered when a candidate has completed their school psychology programming/internship or is transferring from out of state.  This is a temporary role that will end as soon as the school psychologist is fully licensed by the state of TN. During this time, the interim school psychologist will conduct the range of services and supports provided by a school psychologist but supervised by a lead school psychologist until fully licensed. Interim school psychologists are members of school teams that promote prevention and early intervention through multi-tiered systems of support. Their unique training makes them qualified to support schools in systems change, data-based decision making, and effective practices in the areas of academics, social-emotional learning and behavior. They have a strong skill set in collaboration with families, teachers, school administrators, and other professionals to create safe, healthy, and supportive learning environments that strengthen connections between home, school, and the community.  During the interim period, all activities will be supervised by a lead school psychologist.",Master's Degree in school psychology or related field Required,0,"Strong understanding of Multi-Tiered System of Supports (MTSS) for the purpose of interpreting the data, supporting equitable access to core instruction, aligning increasingly intensive interventions to a student’s individual need(s) and determining eligibility for exceptional educational services using the state of TN criteria.
Coordinate, facilitate and support school staff with the implementation of MTSS ensuring effective practices to assist students who experience academic, social and emotional difficulties.
Collaborate with other specialists (e.g., literacy specialists, behavioral analysts, occupational and physical therapists, counselors, speech-language pathologist, etc.) for the purpose of creating and delivering effective, evidence-based support to students.
Administer assessments for the purpose of measuring the cognitive, academic, adaptive, social and emotional development of students and/or determining eligibility for services in compliance with regulatory requirements.
Collaborate with other staff with aligning academic, social-emotional and behavioral interventions as well as supporting teams with continuous monitoring systems.
Compiles information from a variety of sources (i.e., administrators, teachers, nurses, parents, teachers, SLP) for the purpose of producing a comprehensive evaluation or screening report in compliance with established guidelines.
Collaborate and support families so they better understand their children’s learning and mental health needs.
Consult and collaborate with principals, teachers, and support personnel relative to specific educational and adjustment concerns, analysis and interventions.
Partner with families, teachers, school administrators, and other professionals to create safe, healthy, and supportive learning environments that strengthen connections between home, school, and the community.
Provide culturally responsive services to students and families from diverse backgrounds
Participate in meetings, workshops and seminars as assigned for the purpose of conveying and/or gathering information required to perform functions.
Promote and support school-wide practices that ensure the safety of all students by reducing school violence, bullying and harassment.
Consult and support school teams for the purpose of creating smooth transitions to and from school and community learning environments, such as residential treatment centers or Alternative Learning Centers (ALCs).
Assist with crisis prevention and intervention services"," Application for Licensed School Psychology, TDOE, documented  Required","Effective communication and counseling skills.
Strong understanding of state education policies and regulations.
Good working knowledge of mental health and the treatment of affective and behavioral disorders.
Good working knowledge of principles, methods, and procedures for diagnosis and treatment."
Admin Nutrition Services IT Resources,"Works to maintain the efficiency, reliability, and effectiveness of the Nutrition Services Information System, including 1) troubleshooting and problem resolution of all technology; 2) providing direct software and hardware technical assistance to users; 3) creating work around procedures; 4) utilizing appropriate internal district and vendor resources; and 5) working closely with district IT to assess impact of IT changes.",Bachelor's Degree In related field (directly related experience can be considered in lieu of degree) Required, Prior experience and knowledge of school nutrition-related technology systems Preferred,"Oversees FNS technology projects and processes and provides planning, technical leadership and expertise to various levels of staff, including presentations and training.
Provides expertise to keep department current with industry. Maintains expert level knowledge base of FNS hardware and software relationships; makes product evaluations and recommendations.
Collaborates with vendors and district IT to resolve issues and maximize product performance.
Compiles and analyzes work logs to identify areas to maintain efficient work processes.
Installs, secures, configures, demonstrates, and tests for integrity FNS technology and related devices (i.e. POS terminals, printers).  Insures connectivity of LAN/WAN systems.
Maintains accurate department technology inventory records and utilizes department and district help desk ticket process.
Performs technical planning for FNS technology, including network design and hardware replacement schedules.
Assists in technology budgeting and participates in ITB and RFP preparation and evaluation.", Current computer certifications are desirable  Preferred,
"Analyst, Private Placements","The Analyst, Private Placements supports financial advisory, debt underwriting, and the origination and execution of debt private placements.  Provides analytical, financial modeling, structuring, research, and transaction support to senior investment professionals. Works within an investment team and discusses the private placement market with clients. ",0,"4-6 years Experience analyzing and interpreting data related to direct private equity investment opportunities.
4-6 years Experience in an investment banking environment.
1-3 years Experience in investor relations and private fund placement.","Drafts presentation materials, pricings, and market updates and offers materials such as private placement memorandums and investor presentations.
Evaluates relative value and establishes asset allocation strategies across private placement portfolios.
Supports a wide range of assets such as fixed income, equity, derivatives, and alternative investments.
Generates reports for management and tracks private placement portfolio performance.
Works on a variety of live transactions and client-facing business initiatives related to private placements.
Prepares valuations, writes memorandums for private placements, and participates in due diligence and drafting sessions.",,
Manager of Driver,"Manages the daily activities of truck drivers to ensure the safe transport of goods. Serves as liaison between customers, dispatchers, and drivers. Oversees the training and recruitment of drivers, manages training programs and facilitates performance feedback. Schedules routes, delivery progressions, and tracks driver performance. Works to optimize driver performance while ensuring adherence to federal and state regulatory agencies. ",0,"7-9 years Progressive experience working in logistics, transportation management, or similar roles. Experience supervising drivers and coordinating schedules and overseeing driver operations.","Manages a fleet of drivers to ensure that compliance and safety protocols are followed; monitors for on-time deliveries, fuel usage, and adherences to driving hours.
Facilitates route management by planning and assigning driving routes; optimizes routes to reduce fuel consumption and driving time.
Serves as point of contact for drivers regarding scheduling concerns, maintenance problems, and load assignments.
Addresses operational issues, responds to driver inquiries and delivers support during driver trips.
Evaluates driver metrics, such as punctuality, safety, and customer feedback; delivers coaching to drivers to improve compliance..
Facilitates audits of driving logs, vehicle maintenance, and driving certifications to ensure compliance with company policies and transportation laws.
Confirms that drivers perform in adherence to Federal Motor Carrier Safety Administration (FMCSA) and Department of Transportation (DOT).
Ensures that drivers do not exceed driving limits by monitoring hours of service (HOS) to avoid violations of federal regulations.
Supports and assists drivers with real in-time issues such as vehicle breakdowns, customer problems, and route changes.
Designs and implements driver training programs to meet operational standards; identifies individual training needs and integrates professional development goals into driving training.
Updates training programs to ensure alignment with new and existing traffic laws; follows safety protocols to minimize risks and uphold operational safety standards","DL NUMBER - Driver License, Valid and in State
CDL License","Wellbore Integrity Assessment High
Driver Safety Program Development High
Route Assignment Optimization Medium
Telematics Data Analysis Medium"
Supv Driver Training,"Conduct all aspects of the Metropolitan Nashville Public Schools Transportation Department's training program including driver training for all drivers within MNPS in accordance with Federal, State and local traffic laws that governs school bus operations.  Plans and organizes safety programs in accordance with established policies and procedures.  Provides third (3rd) party CDL testing for Metropolitan Nashville Public Schools employee for the State of Tennessee as an examiner, as 3rd party examiners become available.  Works closely with other Driver Training Coordinator staff to ensure a high quality of driver training is provided for MNPS Transportation Department.",High School Diploma or equivalent Required,"1-3 years increasingly responsible experience in pupil transportation as a driver trainer, or related public transportation  Required","Instructs and trains bus drivers in accordance with all Federal, State, and Local laws and departmental procedures.
Coordinates new driver candidates, schedules classes, conducts all aspects of instruction to ensure new drivers are fully qualified to perform their duties; including all classroom, range, and field training.
Assist with all departmental staff development.
Provides remedial action to eliminate conditions determined hazardous to the safety of employees and students.
Monitors bus drivers operating techniques to ensure compliance with safety regulations.
Reviews driver applications and conducts interviews for new bus drivers.  Maintains accurate records which include; state and local reports, and other records required by the department.
Compiles safety reports in accordance with Federal, State and Local requirements.
Coordinates all state required in-services for all CDL drivers.
Provides third party Commercial Driver’s License (CDL) testing in accordance with the Tennessee Department of Safety.  Must remain in good standing with the Department of Safety as a third party examiner.
Schedules new bus driver training classes to keep the department with sufficient drivers to accomplish the departments mission.
Teaches First Aid, CPR, and Crisis Pervention Intervention (CPI) training to all new drivers and bus monitors.","Knowledge of Federal, State, and Local Laws governing school bus drivers.
Third party testing Certification from the State of Tennessee as an examiner is required; or the ability to obtain third party testing certification.
Knowledge of principles and techniques of school bus operations.
Knowledge of fundamentals of safety awareness programs.
Strong oral and written communication skills. Knowledge of OSHA compliance regulations.
Excellent public relations and interpersonal skills.
Ability to evaluate driver’s skills for operating a school bus.
Knowledge of bus driver training fundamentals.
Strong computer skills and experience in using MS Word, Excel, and Power Point.
Ability to plan, organize and implement safety and training instructional programs; including driver staff development programs.
Ability to write concise reports.
Ability to work cooperatively with law enforcement, and other governmental agencies.
Excellent classroom teaching techniques; including creating lesson plans.
Ability to work flexible schedules and extra time as needed.",
Mgr Data Quality and Integrity,"Supervises staff in ensuring the integrity of all data housed in and managed by computerized applications in the District.  Develops support, training, and remediation strategies to ensure data integrity.",Bachelor's Degree In an applicable field Preferred, Additional experience in management or training may be considered in lieu of a Bachelors’ degree,"Supervises data quality specialists in data monitoring, data error management and data entry by schools.
Implements support and monitoring strategies to address areas of concern with respect to data integrity.
Creates and monitors reports from assigned schools to ensure compliance with District and State policies.
Conducts group and individual training sessions for principals, secretaries, administrators, and school counselors on the use of data for state and local reporting.
Assists principals in evaluating staff proficiency with regard to data quality.
Ensures state reported data is accurate and reported in a timely manner.
Researches and develops best practices in the areas of data quality and management.",,Basic Computer Skills
Assistant Director - Financial Aid,"Provides oversight of the day-to-day running of the Office of Financial Aid. Assists Director of Financial Aid in the planning and implementation of policies and procedures to manage business operations. Participates in budget preparation, sets cost estimates, and submits expenditure justifications. Assists with compliance standards for federal and state financial aid programs. Prepares and submits data reports related to financial aid. ",0,"7-9 years Progressive experience in a financial aid role; administering aid packages within a higher ed environment with 3+ yrs in management. Experience in an accounting, finance, or closely related role within a matrixed environment.","Delivers guidance to students on financial aid matters, scholarships, grants, including explanation of application procedures, policies, and regulations.
Oversees the daily processing of student verifications of the Free Application of Federal Student Aid (FAFSA).
Reviews forms to ensure proper completion, accuracy, and verifies information reported on student financial aid applications, reviews transcripts and student folders.
Assists with high level decision making regarding student awards, verification processes, and the development of complex policies and procedures.
Uses institution database systems (i.e., SAP, Ellucian, etc.) to generate reward letters, notifications, and materials.
Works closely with Admissions Office on student recruitment as it relates to financial aid; attends recruiting events and information sessions; and participates in new student orientation.
Clarifies and applies state, federal, and institutional regulations that govern financial aid; delivers knowledgeable insight on regulations related to financial aid.
Liaises with Institutional Research Department to produce statistical and data reports regarding student academic progress, academic progress, state related programs, and other reporting required.
Represents the institution at community and professional organizations; serves on committees, conferences, and campus related activities.",,"Federal Aid Policy Application High
Student Eligibility Review High
FAFSA Oversight Medium
Scholarship Program Coordination Medium"
Coord 504,"Manages policies and procedures by collaborating between organizations and stakeholders (MNPS, AOC, DCS, JDC, Oasis, and Vanderbilt) to support educational stability among students within Special Populations (JDC, Foster Care, Residential Treatment Facilities, 504, Homebound, Short-Term Educational Services).  Research, monitors compliance within each entity in accordance with federal and state laws and school district policies pertaining to the students in the Special Population."," Some college, Student Information Systems Training Required", Experience in the area of Special Populations Required,"Establishes and communicates federal and state laws (Section 504, ESSA, Public Chapter 426, JDC Chapter 152, Homebound Chapter 0520) policies, and procedures for students within the Special Populations demographics.
Partners with multiple entities within district and local departments (Exceptional Education, English Language Learners, Student Health Services, School Counseling, School Social Work, Discipline Services, Enrollment Centers, Data Quality, Metro Student Attendance Center, Federal Programs, Leadership and Learning) to guide development and understanding of students identified as Special Populations.
Communicates regularly with all constituents in a variety of communication mediums regarding pertinent dates, policies, procedures for Special Populations.
Assist with planning and participating in meetings with stakeholders to determine best interest decisions. Consult with stakeholders to identify appropriate supports to increase academic achievement
Conduct ongoing needs assessment, monitor state laws for changes to refine and improve Public Chapter 426 operational functions and services.
Monitors the intake/admitted roster to identify MNPS, Charter, and Out of State students Special Populations (JDC, Foster Care, Residential Treatment Facilities, 504, Homebound, Short-Term Educational Services)
Analyze and utilize data and establish and maintain database for Special Populations",,"Excel, Microsoft Office"
