Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
Tech Mail Center,"Sorts and delivers incoming and outgoing mail and other materials requiring distribution. Operates Mail Center equipment including postage meter and mail folder/inserter.
",High School Diploma or GED Required,,"Pickup from and delivery to USPS locations including bulk, permits, etc.
Accountable for special classes of mail such as certified, overnight letters, FedEx, and UPS.
Trains exceptional education students through the MNPS Transition Program to perform duties in a mail center environment.
Performs pre-delivery sorting and inspection and schedules routing for delivery of mail and packages.
Verifies and corrects misdirected mail.
Loads and unloads Mail Center fleet.
Advises staff on Mail Center policies and procedures.","DL NUMBER - Driver License, Valid and in State Valid Tennessee Drivers’ License  Required
 Basic Mail Certification   Required",
Coord Safe and Drug Free,Perform a broad range of duties that promotes a safe and orderly environment by planning and implementing district-wide programs designed to improve student outcomes across all tiers. Coordinate infrastructure for SEL school supports. Compiles and analyze program data to determine impact and calculating program projections.  ,Master's Degree from an accredited institution in a related field Preferred, Experience managing a long-term project in an educational or non-profit setting is Preferred,"Management of the “1st Time Drug Offender” and “1st Time Violent Offender” program.
Coordinate and manage district-wide threat assessments protocol and train schools in conducting building level threat assessments.
Coordinate and manage mentoring support for the district for improved SEL competencies.
Collects and maintains media and establish strategic community partnerships for drug and violence prevention programs and tiered mentoring supports.
Establish transition support for Alternative Learning Centers and Juvenile Justice Center.
Manage tiered mentoring supports and drug prevention programs through data collection, analysis, and dissemination of outcomes.
Ensure all appointed school staff members are trained in McGrath to carry out bullying investigations.
Develop a professional development plan that connects to the district focused outcomes and be able to share in a professional learning community.
Provide coaching and feedback to team.",,"Strong interpersonal and communication skills.
Ability to work effectively and cooperatively with a wide range of constituencies in a diverse community.
Ability to communicate effectively, both orally and in writing.
Skill in organizing resources and establishing priorities.
Ability to make administrative/procedural decisions and judgments.
Proposal and grant writing skills.
Ability to create, compose, and edit written materials."
Application Systems Analyst- Kronos,"Serves as the subject matter expert and main contact for Kronos application. Builds, installs, and supports Kronos application. Interprets policies, analyzes workflows, and procedures to ensure alignment with business operations. Conducts investigations to determine specifications and application functionality; documents all findings. Identifies opportunities for improvement by working with end users to develop proposals.  Reports to Applications Manager. ",,4-6 years Experience in a Kronos support role in a healthcare setting. Or Experience in an application design and implementation role,"Initiates projects by gathering and analyzing user requirements, test planning and develops system to meet end user needs; implements plan to stay on track with project deadlines.
Partners with management to understand business requirements and builds workflows; incorporates effective solutions while engaging with key end user representatives.
Responds to inquiries and delivers support during go-live periods and post live periods to identify and troubleshoot issues; working promptly to resolve issues within a timely manner.
Implements revised or new system requirements and procedures; creates documentation.
Plays a leading role for projects including programming, maintenance, technical support, documentation, and administration of the applications.
Ensures that change management projects manage risk to applications and technologies.
Defines, measures, and meets key operational metrics including performance, incidents and chronic problems, traffic and conversion, etc.
Improves computer hardware job knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.",,"Knowledge and understanding of Kronos workflow associated with staff scheduling, time and attendance.
Ability to recognize, analyze, and solve a variety of problems.
Excellent communication skills both written and verbal.
Very strong customer service orientation."
Assistant Financial Analyst,"Supports the financial analysis and planning activities within the organization. Assists in collecting and analyzing financial data, helps to prepare reports, forecasts, and budgets. Works with financial models to evaluate business performance, identifying trends, and providing insights for decision-making. Works closely with Senior Analysts to confirm the accuracy of financial data. Helps to monitor market conditions and economic factors in financial planning. 
",,less than 1 year Experience working in a financial role in a professional level internship or entry level role.,"Collects financial data from a variety of sources, including reports, market trends, and economic indicators, to aid in analysis.
Helps prepare financial statements, reports, and presentations to provide valuable insights for senior management and stakeholders.
Assists in creating budgets and financial forecasts, tracking performance against targets, and identifying discrepancies.
Develops and maintains financial models to forecast future performance, assess business scenarios, and support decision-making.
Evaluates financial performance by comparing actual results to projections or budgets, identifying variances, and recommending corrective measures.
Collaborates with senior financial analysts, accountants, and other teams to ensure data accuracy and alignment with financial objectives.
Tracks economic and market trends, assessing their potential effects on the company's financial strategy and overall performance.
Ensures financial processes comply with company policies and regulatory requirements, while keeping well-organized documentation for audits and reviews.",,"Knowledge and understanding of basic accounting principles, financial statements, and budgeting processes.
Proficient in the use of financial software and tools.
Possesses strong analytical abilities to interpret financial data and generate insights to support decision-making.
Excellent communication skills both written and verbal."
Analyst Payroll Compliance,"This position ensures payroll accuracy and compliance by auditing timekeeper entries, training timekeepers on procedures, and improving payroll processes. The role focuses on preventing errors, minimizing payment discrepancies, and streamlining payroll operations.","Bachelor's Degree Accounting, Finance, Human Resources, Business Administration, or a related field. Required","4-6 years Experience in payroll processing, auditing, or compensation management Required
1-3 years Experience with timekeeping systems and payroll software, preferably with large-scale operations Required","Serve as a subject matter expert and resource for timekeepers, answering questions and providing guidance on payroll processes.
Develop and deliver training programs to educate timekeepers on proper payroll procedures, including roster verification and data entry best practices.
Conduct regular and thorough audits of payroll data submitted by timekeepers.
Ensure that payroll entries align with employee rosters, schedules, and attendance records.
Identify discrepancies, such as overpayments, underpayments, or missing information, and take corrective action.
Ensure timekeeper entries comply with company policies, labor laws, and payroll regulations.
Generate reports on payroll discrepancies and audit findings, providing detailed feedback to management and relevant departments.
Collaborate with the Compensation and Payroll teams to improve internal controls and reduce errors.
Analyze patterns in payroll errors and propose solutions to prevent future discrepancies.
Work with departments to streamline payroll workflows, ensuring that timekeeper submissions are timely and accurate.
Act as the primary liaison between timekeepers, the Compensation Department, and the Payroll team to ensure clear communication regarding payroll policies and deadlines.
Implement monitoring systems and tools to ensure payroll data accuracy and compliance with deadlines.",Certified Payroll Professional (CPP)-APA  within 1 Year Preferred,"Ability to identify trends in payroll errors and recommend process improvements High
Excellent verbal and written communication skills. High
Excellent time management skills with a proven ability to meet deadlines. High
Proficiency in payroll systems (e.g., Oracle, Workday, ADP, or similar) and advanced Excel skills. Medium
Ability to build effective professional working relationships. Medium
Ability to train others. Medium
Knowledge of compensation principles and procedures. Medium"
Assoc Oncology Data Analyst,"Under direct supervision, the Associate Oncology Data Analyst is responsible for data analysis associated with casefinding and data entry.",,,"Performs case analysis, abstracting and patient follow-up.
Contributes to national and state cancer data submissions policies and procedures dynamic reporting requirement updates quality control review and improvement in compliance. Assists with system upgrades and data edits for National Cancer Database submissions, investigating and solving quality issues.
Contributes to oncology database research studies, departmental goals/objectives, policies and procedures for department operations.
Contributes to the development of criteria to assess accuracy of data and run reports to assess quality.
Performs data collection, analysis, reporting , statistical/comparison analysis & creates presentations for approved requests.
Participates in Cancer Committee meetings, team meetings and in-service and CoC on-site consultation and survey activities
Coordinates and maintains CoC required reporting for cancer conferences/tumor boards assures patient confidentiality and privacy in accordance with HIPAA and hospital policy.
Contribute to ongoing updates and education of team providing further training.
Completes Patient Survivorship Care Plans if required for facility.
This document represents the major duties, responsibilities, and authorities of this job, and is not intended to be a complete list of all tasks and functions. It should be understood, therefore, that incumbents may be asked to perform job-related duties beyond those explicitly described.",,
Manager - Workforce Analytics,"Manages the development of the team and the adoption of Organizational wide practices involving workforce analytics.  Acts as the manager of workforce data, establishes and enforces overall data modeling standards, guidelines, best practices, techniques, and approaches. Provides thought leadership on BI tools and stays abreast on developing trends for data and analytics visualization. Seeks opportunities to improve data quality and operational efficiency. Owns accountability for intelligence, particularly the design, development, and continuous improvement of actionable metrics/dashboards/trend analysis that enable the business to make data-based decisions. ",,"10+ years Experience in an analytics, workforce intelligence, or strategy role with 3+ years in project management overseeing and comfortable with large amounts of data using various tools for reporting and data management. Experience with tools to query, analyze, manipulate, and visualize datasets (e.g. SQL, Python, R, SAS, SPSS, Tableau, PowerBI).
10+ years Broad HR background with experience in project management overseeing data, forecasting, and providing on-going consultation and insights to leadership.","Serves as consultant to leadership by leading the development and execution of workforce analytics to provide solutions and in-depth understanding into the dynamics of the workforce.
Leads the team to develop solutions to provide information about the business workforce.
Leverages and develops predictive models to provide insight and data to make critical workforce decisions to improve employee productivity and retention.
Contributes to key business initiatives by implementing quantitative and qualitative methods (focus groups, data collection, surveys, etc.) and interpreting research data.
Designs and develops useful metrics, predictive models, dashboards, analysis, and data reporting to support a variety of HR and business initiatives.
Manages the governance process to identify business requirements, prioritize requirements based on resources budget and timeline, and manage the end-to-end design and development of solutions.
Establishes external relationships and participate in workforce analytic councils to share best practices and attain industry benchmarks.
Ensures that the organization remains current with emerging best practices and techniques with respect to appropriate analytical capabilities.","Certified Analytics Professional (CAP)
SPHR or SHRM-SCP
Certified Data Professional","Predictive Attrition Modeling High
Labor Demand Forecasting High
Skill Gap Analysis Medium
Workforce Productivity Dashboard Medium"
Mgr Transportation Operations,"The Transportation Operations Manager is responsible for overseeing the coordination and management of student transportation services within Metropolitan Nashville Public Schools.  The Manager will be responsible for the implementation and oversight of Transportation Special Projects and Applications throughout the Transportation Operation as assigned by the Transportation Director.  This position will ensure that transportation services are efficient, timely, and compliant with Federal, State, and Local District policies, while providing a high level of customer service and support to families. ",Bachelor's Degree  Required, 8 Years of Equivalent School Transportation and Leadership Work Experience Required,"Manage and oversee special projects specific to student transportation services, as assigned by the Transportation Director.
Lead, Direct, and become the Subject Matter Expert (SME) of the Driver Tablet, GPS Route Navigation, Radio Frequency Identification (RFID) test pilot programs, in addition to other Transportation Specific Applications/Technology programs, and rollout these systems as we implement and expand throughout the fleet.
Responsible for creating a Project Timeline for all projects assigned and producing an itemized budget request to ensure appropriate resources are available.
Provide Fleet Performance Data (KPIs such as on time performance, accident and incidents, staffing, vehicle maintenance, and GPS/parent bus app) to the Senior Leadership.
Directly support the systems integrations with routing, payroll, tablets and future transportation technologies.
Collaborate with MNPS Customer Service Representatives and the MNPS Family Information Center to handle and resolve transportation-related concerns from stakeholders.
Collect Data, monitor transportation schedules, and ensure student bus routes are effective, efficient and adhere to safety regulations while working with Transportation Supervisors to ensure on-time arrivals and departures for routes.
Ensure that transportation personnel adhere to safety standards and protocols.
Develop professional training programs for bus drivers and support staff, focusing on advanced technology within our fleet, assisting with safety and customer service excellence, by preparing PowerPoint and other Audio/Visual and hands on activities.
Knowledgeable on local, state, and federal transportation regulations, ensuring compliance with all applicable laws.
Coordinate with Supervisors any needs for drivers, buses, or route changes.", Commercial Driver License with Passenger (P) and School Bus (S) Endorsements within 1 Year Required,
Associate Sales Incentive Analyst,"Provides entry level support to the day-to-day administration of the compensation system for sales incentive-eligible employees. Drives operational process improvements in compensation quota management, compensation adjustments, quarterly payouts, compensation plan administration, and improving the scalability of our program tools. ",,"1-3 years financial planning and analysis, sales operations, deal processing, or sales compensation","Validates HR data, plans initial plan set up, and updates quota and territory changes.
Facilitates user acceptance testing (UAT) for process and system updates.
Assists with the distribution of incentive compensation plans.
Ensures all compensation methodologies, policies, procedures and governance are followed.
Collaborates with internal stakeholders including, HR, Tax, and Legal to ensure all compensation methodologies, policies, and procedures are maintained in production.
Supports the quarterly commission payout process including manual compensation adjustments, calculations and approval process.",Certified Compensation Professional (CCP),"Knowledge of generally accepted accounting procedures and principles.
Knowledge of accruals and compliance with ASC 606 commission accounting.
Highly proficient in Microsoft Office programs.
Proficient with Microsoft Excel, Access and SQL.
Strong interpersonal skills, written and verbal communication."
Associate Consumer Insights Analyst,"Works closely with Marketers to capture actionable insights from our proprietary customer database to enable use to make data-driver decisions that drive business outcomes. Manages the optimization of customer data, partners with Marketing to implement learning and other primary research, and working with the analytics team to incorporate new data. ",,1-3 years Experience in a project management role performing consumer research.,"Manages and executes weekly and monthly reporting for the marketing department.
Uses SQL to derive insights from customer shopping behavior in the customer database.
Visualizes analysis and reporting using PowerPoint, Excel, and Power BI.
Performs analysis and refines/develops new tools in support of optimal character assortment performance and future assortment development.
Supports optimal character development through consumer survey and scoring analysis and insights.
Collaborates with business stakeholders across departments to meet their customer-level data and analytics needs.
Measures marketing tests and report results to stakeholders.",,"Strong quantitative and analytical skills.
Proficient in PowerPoint, Excel, and Word.
Strong conceptual and strategic thinker.
Excellent organizational and multi-tasking skills."
