Job Code,Job Title,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
87894,Teacher Grade 8,"The Teacher utilizes current strategies and theories to plan, organize and implement structured lessons to instruct Grade 8 students.",Bachelor's Degree from an accredited institution in a related field Required, Work experience gained through education and certification/license requirements Required,"Instruct students in an in-person classroom environment through lectures, discussions, visual aids, instructional strategies, and other effective teaching methods for student comprehension.
Prepares lessons and outlines to use in class that effectively cover the material.
Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Administers various types of assessments to monitor student’s comprehension of the material.
Assist students who need extra help with tutoring. Guides and counsels students with adjustment or academic problems or special academic interests.
Collaborates with other teachers and administrators to develop, evaluate, and revise academic programs following approved curricula.
Utilizes instructional technology, audio-visual aids, and other equipment and materials to enhance student learning.
Performs various administrative duties such as taking attendance, organizing the classroom, and responding to emails and phone calls from parents, school administrators, and staff in a timely manner.
Observe and evaluate students' performance, behavior, social development, and physical health.
Attends in-person faculty meetings, teacher training workshops and educational conferences to maintain and improve professional competence.
Maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations.",Teaching Certification/License From Tennessee Department of Education with applicable endorsement  Required,"Excellent writing and communication skills
Instructional strategies that connect the curriculum to the learner
Student Management
Demonstrated ability to work well with students, staff, and parents in a professional manner
Ability to be flexible and adapt as needed between in-person learning environments.
Knowledge of school safety & security procedures
Ability to work under pressure and meet deadlines"
86690,Mgr Data Quality and Integrity,"Supervises staff in ensuring the integrity of all data housed in and managed by computerized applications in the District.  Develops support, training, and remediation strategies to ensure data integrity.",Bachelor's Degree in an applicable field Required, Two (2) or more years related experience Required,"Supervises data quality specialists in data monitoring, data error management and data entry by schools.
Implements support and monitoring strategies to address areas of concern with respect to data integrity.
Creates and monitors reports from assigned schools to ensure compliance with District and State policies.
Conducts group and individual training sessions for principals, secretaries, administrators, and school counselors on the use of data for state and local reporting.
Assists principals in evaluating staff proficiency with regard to data quality.
Ensures state reported data is accurate and reported in a timely manner.
Researches and develops best practices in the areas of data quality and management.",,Basic Computer Skills
85253,Coord Evaluation RAE,"Employee is responsible for coordinating activities related to the evaluation of schools, district initiatives and designated programs.",Doctoral Degree  Preferred," Experience in program evaluation, research, survey design and student assessment in a public school system Preferred","Provides leadership in the design, development and implementation of systems to evaluate schools, district initiatives and educational programs.
Coordinates district measurement and data collection activities related to evaluation projects and assists in the processing of data.
Assists in the development and implementation of systems utilizing student performance data to evaluate and incentivize teacher effectiveness.
Assists in the selection, development, implementation and/or analysis of district surveys.
Analyses evaluation data and summarizes findings in written and oral reports, both for governmental agencies and local decision making.
Educates key program personnel in educational measurement and evaluation procedures so that they may be more effectively involved in these areas.
Assists the MNPS Research/Survey Committee in the review of proposals to conduct research or evaluation within the district.",,"Excellent oral and written communication skills and ability to manage and prioritize multiple tasks are required.
The candidate should be competent with data management and statistical analysis software (preferably SPSS)"
84250,Dir Assessment RAE,"The Director of Assessment oversees district-wide student assessments. The position provides professional development to Curriculum and Instruction staff, school administrators, and teachers on the administration, interpretation and use of state and district assessments; assists in the planning and management of district and state mandated assessments; supports district and school staff in data informed decision making; assists in the reporting, editing, and checking of accountability results; and oversees the assessment team within the department.",Master's Degree in related field Required," Experience in student assessment, accountability, program evaluation and/or professional development in a public school system Preferred","Provides oversight and training to internal assessment team, school administrators, and testing coordinators in the administration of state and district mandated student assessments, ensuring compliance with test security and accommodations policies.
Provides support to on-going efforts to improve and integrate electronic test administration, scoring, reporting, and access to student data at the classroom and district levels.
Assists Curriculum and Instruction in the annual planning, review, management and scheduling of formative and summative district assessments.
Manages annual workflow of assessment team in relation to assessments and resulting data and reporting cycles.
Provides professional development to district and school staff in the interpretation, analysis, and use of student assessment results and other key data for school improvement planning and data driven decision making.
Provides assistance and training to district staff in item writing, test validation, and other test development activities.
Oversees teacher-student claiming process to ensure accuracy of teacher evaluation growth metrics.
Reviews current literature and legislation related to accountability and assessment and maintains a current knowledge of relevant provisions of applicable federal, state and local laws, rules and regulations; provides accountability and assessment advice to district leadership.","Teaching Certification/License Teacher certification   Preferred
 educational administration certification  Preferred","Excellent oral and written communication skills are required.
Excellent oral and written communication skills and ability to manage and prioritize multiple tasks are required.
Must be proficient in Microsoft Office suite."
83552,Analyst Data Operations RAE,"Prepares and loads student assessment data into district's data warehouse; works with central office personnel to ensure assessment and survey data collection, data exchange between systems and reporting are accurate and timely; researches and applies best practices in data management; assists in identifying defects in data operations and collaborates with team members to implement corrective actions; implements strategies to address data quality and integrity; assists with survey development and administration; assists with data collection, analysis and reporting and other routine department activities.",Bachelor's Degree From an accredited college or university  Preferred, Experience with statistical software programs  Preferred,"Organizes, cleanses, maps and loads student assessment data into district’s data warehouse.
Works with department and other district staff to ensure assessment and survey data collection, data exchange between systems and reporting are accurate and timely.
Assists in identifying issues with data operations that impact data quality and collaborates with team members to implement corrective actions.
Implements strategies to address data quality and integrity.
Assists with survey development and administration.
Consults with technology and other departments to coordinate data collection and automation tools.
Assists with data collection, analysis and reporting.",,Strong organizational and analytical skills required.
85491,Coord Arts Visual and Performing," Coordinates curriculum and instruction for visual arts teachers through teacher professional development, standards implementation, fostering relationships with and among teachers, administrators and the community. Provides expertise and leadership in the implementation of STEAM and arts integration initiatives.",Master's Degree in Art Education Preferred, 7 - 10 years music/arts teaching experience in public education Required,"Coordinates professional learning for all visual arts teachers, including the development of professional development workshops, teacher coaching, peer to peer learning, and portfolio development as part of the TEAM evaluation.  Coordinates Visual Arts Teacher Content Council, including recruitment, application process, agendas and outcomes. Creates annual plan for professional learning, including resources needed and evaluation metrics.
Coordinates standards-based curriculum and instruction in visual art, including development of Scope and Sequence, standards training and implementation, and textbook adoption. Reviews instructional resources and makes recommendations for adoption.
Provides expertise and leadership in the development and implementation of STEAM in middle schools and arts integration initiatives.
Oversees essential programs, including Mayor’s Art Show. Develops and implements procedures and protocols for program delivery, data collection, and reporting requirements.
Coordinates community requests for student exhibits at public events, such as School Board meetings, A & S meetings, PENCIL Foundation events, local and national conferences.
Responds to teacher requests for assistance on topics such as classroom management, resource management, unit planning, district policies and procedures, relationships with building supervisors.
Provides timely information and updates for monthly newsletter.
Takes a leadership role in regional and state associations; supports opportunities for adjunction in visual art content areas.", Certificated teaching license in TN and Administrative license  Required,"Extensive content knowledge of visual art in public education, strong reading, writing and speaking skills, positive mindset, ability to develop a plan and execute the details, strong organizational abilities, extensive relationship-building skills, collaborative spirit and openness to new ideas, strong peer network."
88129,Teacher Social Studies Sociology,"The Teacher utilizes current strategies and theories to plan, organize and implement structured lessons to instruct K12 students.",Master's Degree from an accredited institution in a related field Preferred, Work experience gained through education and certification/license requirements Required,"Instruct students in an in-person classroom environment through lectures, discussions, visual aids, instructional strategies, and other effective teaching methods for student comprehension.
Prepares lessons and outlines to use in class that effectively cover the material.
Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Administers various types of assessments to monitor student’s comprehension of the material.
Assist students who need extra help with tutoring. Guides and counsels students with adjustment or academic problems or special academic interests.
Collaborates with other teachers and administrators to develop, evaluate, and revise academic programs following approved curricula.
Utilizes instructional technology, audio-visual aids, and other equipment and materials to enhance student learning.
Performs various administrative duties such as taking attendance, organizing the classroom, and responding to emails and phone calls from parents, school administrators, and staff in a timely manner.
Observe and evaluate students' performance, behavior, social development, and physical health.
Attends in-person faculty meetings, teacher training workshops and educational conferences to maintain and improve professional competence.
Maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations.",Teaching Certification/License From Tennessee Department of Education with applicable endorsement Upon Hire Required,"Excellent writing and communication skills
Instructional strategies that connect the curriculum to the learner
Student Management
Demonstrated ability to work well with students, staff, and parents in a professional manner
Ability to be flexible and adapt as needed between in-person learning environments.
Knowledge of school safety & security procedures
Ability to work under pressure and meet deadlines"
85789,Spec School Based Trauma Informed,"The School-based Trauma-Informed Specialist works closely with school and district staff, students, families and outside agencies to promote an environment that mitigates the impacts of adversity and toxic stress and supports wellness and school success. Performs work involving organizational or individual trauma assessments; on-site training, consultation, and technical support for school staff, students and families;  develops appropriate support and intervention plans; assists with collaborative referrals; provides support for students with a history of trauma and school-related issues; and monitors the course of supports.","Master's Degree in General or Special Education, Social Work, Counseling, Marriage and Family Therapy, Psychology or related program Required",1-3 years Related experience Required,"Conducts formal and informal assessments of school-wide, student, and family needs using structured interview and assessment procedures.
Works collaboratively with school and district staff and related programs to impact school-wide systems, policies, and practices to become more trauma-informed.
Assists with development of individualized or group support plans in collaboration with teacher teams and other key stakeholders.
Provides, supports, and monitors implementation of individual and group plans as needed, including trauma-informed crisis interventions.
Participates in school-level team meetings (e.g.,  MTSS-B, leadership) to review data, monitor progress, and assist with collaborative referral process in collaboration with related staff to ensure the highest quality of specialized supports are provided for students and families.
Provides individualized consultation, coaching and technical support to school staff who support students with trauma-related symptoms.
Works in collaboration with other specialized providers to provide trauma-informed interventions for groups of students, families, or school staff as needed.
Provides professional development to school staff and related stakeholders about the impacts of ACEs and trauma-informed school culture and practices."," Related licensure is preferred (e.g., Professional or School Social Worker, Professional or School Counselor, Teacher, Occupational Therapist, Marriage and Family Therapist, or School Psychologist) is  Preferred
 Teaching experience, micro-credential certifications and training in the areas of trauma-informed care, mindfulness/yoga, or mental health counseling are  Preferred","Strong written and interpersonal consulting skills. Relates and interacts positively with teachers, other administrators, students and families, central office personnel, parents, and the general public;
Communicates effectively in written and oral form;
Possesses excellent public speaking abilities;
Demonstrated proficiency in a coaching or consulting role; Evidence of effective leadership skills;
Demonstrated competency in developing and leading professional learning opportunities for instructional staff and parents.
Excellent knowledge of common educational and behavioral health diagnoses related to trauma and evidence-based treatments for related needs.
Ability to work effectively in a team.
Ability to exercise balanced judgment."
82509,Tech Instructional Design Lead,"Develops, implements, and assesses integrated curricula centered on technology-enhanced lessons and units to support school improvement and implementation of the District's Vision. Designs and implements high quality, personalized, evidence based professional learning programs, curriculum, methods, and materials for various audiences and supports the development of school culture, professional learning, community partnerships, and instructional technology programs."," Instructional technology degree or certification preferred, demonstrated ability to integrate technology Required",7-9 years Related experience Preferred,"Conducts skill assessments and collects input to identify training or development needs, goals, gaps, and requirements to achieve specific outcomes related to instructional technology integration
Develops curricula supporting defined competency models or skill frameworks focused on using personalized and blended learning strategies to increase access to standards and curriculum
Consults with subject matter experts to define learning objectives and to design appropriate course content and professional learning curriculum.
Assist schools, departments, and MNPS Community in implementing instructional technology goals) through focused planning and modeling of technology and tech- centric pedagogy into teaching practices.
Participates in ongoing communication with school leadership, internal and external technology leaders to learn current trends and best practices to aid in the design of curricular materials and professional learning.
May provide a leadership role for collaborative work groups through knowledge in the area of specialization.
Presents professional learning on Tennessee Digital Readiness standards that supports students’ acquisition of digital literacy, Computer Science and technology skills
Designs, and delivers professional learning to educators on how to integrate district provided technology tools (Schoology, Office 365, Minecraft, etc.) into instruction.
Participates in ongoing professional learning to deepen their learning in pedagogical technology integration, share findings with educators in PLCs and consultation sessions
Evaluates software, applications, resources and/or collaboration tools used for professional learning; Establishes metrics used to evaluate training effectiveness."," Must hold or be eligible for a certificate or license issued by the Tennessee Department of Education with a related endorsement  Required
 Instructional Technology Training Certificate (ex. Microsoft Innovative Educator, Apple Distinguished Educator) or ability to demonstrate skills and knowledge of current technology integration in the classroom with district approved applications  Required","Ability to work on advanced, complex technical projects or business issues requiring expert technical or industry knowledge;
Written and oral communication;
Knowledge of instructional strategies, knowledge of technology hardware and software;
Ability to create and deliver technology training;
Advanced in Microsoft 365 (Sway, PowerPoint, Excel, Word), Proficient in creating a safe and productive environment face to face and online."
83222,Coach College & Career Readiness and Success," The  Coach — College & Career Readiness and Success has the overall responsibility of managing the college and career preparation and activities within their New Skills Ready (NSR) school. With school leadership, create a College & Career Advising team, including staff, teachers, and support organizations, to identify the services and support currently being provided; and develop a strategic plan for the College and Career advising for the high school.",Master's Degree  Preferred, Two years’ experience or exposure to college and career advising and work-based learning Preferred,"Works collaboratively with Ready Graduate Analyst, NSR Grant Director and other CCR Coaches to establishes strong systems and processes in alignment with the New Skills Readiness Grant to ensure all MNPS students have high-quality college and career advising to successfully transition into post-secondary opportunities.
Leverages existing relationships and grows additional partnerships with community partners, post-secondary institutions, state agencies, and business partners to ensure adequate resources to ensure all students have access to post-secondary opportunities, including college/post-secondary advising, internships, pre-apprenticeships, apprenticeships, etc.
Sets up and maintains a College and Career Advising Center to provide space within the school for students to meet with external partners and school staff to stay informed about post-secondary opportunities.
Collaborates with the school leadership team and external stakeholders (post-secondary partners, community organizations, business partners, parents, and students) to develop, monitor, and implement the schools New Skills Ready strategic plan. The plan will include grade level advising milestones and progress towards EPSOs and work-based learning. The creation of an advisory board is recommended.
Collaborates with various departments in the district to develop strong systems of support, communication and marketing strategies, and data-tracking tools supporting a unified vision of preparing all students for success after leaving high school.
Organizes, analyzes, interprets, synthesizes, and summarizes data and clearly communicates findings to various stakeholders through oral and/or written reports.
Remains informed on local, state, and federal requirements as related to Ready Graduate indicators.  Assists with the development of system policies, procedures, and practices.
Works directly with Ready Graduate Analyst, NSR Grant Director, and various departments within the district to meet district goals and expectations and performs other duties as assigned.
Utilizes existing data and identifies and/or develops instruments, tools, and strategies to collect additional data necessary to evaluate program effectiveness.",,"Professionalism skills of collaboration, communication, critical thinking and creativity are required."
