Job Code,Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
80259,Mgr Operations Routing,"Supervises and coordinates all aspects of Transportation Dispatch Operations.  Collaborates with principals, central offices, parents, TN State Department of Education, outside agencies, and others as necessary.", Business degree from an accredited college or university with coursework in logistics and/or business process applications or an equivalent work experience in same or related field Required," Directly applicable experience in logistics and/or business process applications, including five years’ experience directly supervising others Required","Supervises and coordinates all aspects of Dispatch operations, including responsibility for day-to-day operation of Dispatch.
Analyzes student transportation requirements and develops dispatch plans accordingly.
Collaborates with Routing Manager to improve efficiency of operations.
Regularly reviews team’s progress against departmental goals.
Collaborates with operational supervisors in the handling of day-to-day problems.
Collaborates with other divisions/departments to develop seamless transportation policies and procedures.
Keeps abreast of current innovations and trends; is knowledgeable on federal, state and local laws governing school transportation/routing; and recommends changes to processes/procedures accordingly.","DL NUMBER - Driver License, Valid and in State   Required",
89101,Asst Therapy Physical,"The essential function of the position within the organization is to provide physical therapy service for designated students.  The position is responsible for providing physical therapy, assessing students' needs, maintaining service records, and preparing reports.  The position works under general supervision according to some procedures; decides how and when to complete tasks.",Associate's Degree or the equivalent of two years of college or vocational school education resulting in approved certification as a Physical Therapist Assistant Required,less than 1 year of related experience Required,"Provides school-related physical therapy services for designated students according to individual goals.
Follows therapy intervention strategies related to classroom activities.
Assists Physical Therapy staff in identifying and assessing students’ basic skills and abilities in gross motor function, balance and equilibrium, orthopedic status, motor planning, developmental function, range of motion, postural tone, gait, reflex integration, and kinesthesia.
Monitors use of adaptive equipment and other assistive device during therapy service sessions with students.
Recommends or develops assistive devices used in classrooms.
Provides assistance to classroom teachers by demonstrating exercises and activities.
Documents therapy received and records progress; maintains a variety of service related logs and prepares reports.
Inputs student data to personal computer and extracts lists of students receiving services.
Orders supplies, equipment, and assessment materials.
Contacts School District staff, parents, physicians, and various agencies related to physical therapy services.
Meets with Physical Therapists to report parent and teacher concerns and issues.",PTA - Physical Therapist Assistant State registration  Required,
81473,Coord ACT,"Maximize student opportunity to obtain Ready Graduate status through earning a 21 composite on the ACT by: Leading the implementation of the district's comprehensive ACT strategic plan across all schools; Providing support to district personnel and school staff in the interpretation and use of ACT data; Working collaboratively with high schools to support curriculum and instruction for ACT Prep courses and ACT enrichment opportunities.
",Master's Degree in Education Required, Minimum of five years of experience in education and at least one year of administrative and/or teacher leadership experience Required,"Lead school staff in the implementation of effective ACT Prep courses and ACT supports with a focus on the curriculum, professional development, and data tools available.
Build a culture of increased awareness in grades PreK-12 about the ACT and identify connections to ACT skills across all areas of the PreK-12 district curricula.
Coordinate a district-level ACT committee by conducting regular meetings, monitoring progress, and setting goals in accordance with the district’s comprehensive ACT strategic plan.
In collaboration with school and district leadership, establish district- and school-level action plans with the goal of improved student outcomes.
Build and utilize communication systems to promote ACT requirements, supports, and resources for external audiences (students, families, community members) and internal audiences (school board, teachers, school leaders, district leaders).
Manages the district contract(s) with vendors who support ACT Prep curriculum or supplemental resources including resource allocation and professional development provisions.
Analyzes and synthesizes ACT data from a variety of sources and prepares reports or presentations about ACT performance."," Valid Tennessee teaching certificate  Required
  valid Tennessee administrative license  Required","Data analysis,
program implementation,
project management and effective communication skills."
83350,Dir Student Assignment,,," Five (5) years increasingly responsible experience in inventory control preferably 			in the automotive industry Required","Provides analysis of demographic data as it impacts the school system’s housing and delivery of instructional services.  Collects, analyzes and interprets demographic data as it relates to individual school and system wide enrollment projections.
Prepare ten (10) year system wide and one year individual school enrollment projections
Communicate with governmental planning agencies to assess the impact of community pans on educational facilities
Assists in the preparation of the Capital Improvements Program and budget
Recommends and initiates procedures for the acquisition and disposal of real property
Maintains and provides an accurate description of individual school attendance zones. Plans for new school attendance zones and changes to existing zones as necessary
Maintains an accurate computerized file of valid addresses in Davidson County
Maintains an accurate computerized file of valid addresses in individual school attendance zones
Recommends changes in school attendance zones and the impact on the ethnic composition of the student body
Prepares annual report on the ethnic composition of the student body for each individual school
Monitors attendance zones for impact on housing and other student assignment factors
Supervises and evaluates the implementation of School Board policy and State law as it relates to pupil attendance accounting and transfers
Prepares and reviews reports required by the State Department of Education",,"Knowledge of fundamentals of inventory control
Knowledge of automotive repair manuals
Skill in oral and written communications
Ability to supervise and lead the work of others
Ability to adhere to budget guidelines
Ability to organize and prioritize work
Ability to perform basic bookkeeping functions
Ability to work independently
Ability to use a computer terminal for data input, retrieval; proficient in using      MicroSoft Word and Excel; ability to learn fleet maintenance software utilized by MNPS"
85111,Translator School Based Parent Outreach,The School-Based Parent Outreach Translator will interpret verbally and translate written documents from one language to another.,High School Diploma or GED Required," A minimum of two years’ applicable experience performing language translation duties, including proficient reading, writing, and oral communication in both English and the native language Preferred","Directly assist Non English Language Background (NELB) parents in assigned schools in person, via phone, and via email.
Assist Administration contacts, conferences, and meetings. Translate school-level documents.
Assist with home visits, accompanied by another MNPS or Metro Employee.
Assist in oral interpretation at school events and activities.
Assist school staff with recording the call-outs in the target language.
Assist in updating Emergency Card and contact information. Provide new information to school office as needed.
Develop and maintain positive relationships with staff and international families.",,"A proficiency test translating English to native language; develop effective, accurate and grammatically correct written text for a variety of audiences.
Familiarity with Microsoft Office Suite (Word, Excel, Outlook, Power Point and Publisher).
Establish and maintain working relationships with others; organization and prioritization; work independently and as a member of a team; deal effectively with international parents and students."
86880,Principal Asst MS,"Assist principal in planning, directing, or coordinating the academic, administrative, or auxiliary activities of assigned school. Builds capacity of educators to provide all students a rigorous curriculum, aligned with adopted state standards. Collaborates with stakeholders to establish and communicate a clear, compelling vision for continuous improvement. Promotes the professional growth of all staff members through clear expectations for performance, modeling expected behaviors, effective coaching practices, conducting frequent supervisory visits with clinical feedback for improvement. Ensures effective and objective evaluation of staff.","Master's Degree in Secondary Education, Educational Administration, or a closely related field Required", 3 years of certificated experience Required,"Assists with supervision of staff, including recruitment, selection, development, deployment, performance evaluation, counseling, discipline, and recommendation for termination.
Provides leadership to create an environment that fosters the lover for learning, active student engagement, and consistent improvement in academic achievement. Provides leadership in planning, developing, implementing, and evaluating instructional programs and activities. Assists with scheduling classes and extra-curricular activities for students.
Provides stewardship of the instructional program by facilitating, and/or actively leading the appropriate professional learning communities at the school while ensuring the effective implementation of required curriculum including National, State and Local Standards of Practice for areas of responsibility.
Create a culture of collaboration and shared accountability where people are valued, supported, and personally invested in professional growth. Ensures the creation of a safe and orderly environment by implementing policies approved by the Board of Education and district safety procedures and protocols; enforces policies and procedures for student discipline, and protects students’ rights; coordinates safety inspections and safety evacuation drills according to established laws and protocols.
Assists with development, preparation, and administration of approved school budget; monitors and approves expenditures; supervises financial operations of designated areas in the school.
Supervises compilation of student data, including report cards, transcripts, and schedules; supervises reporting and monitoring of student attendance. Maintains record system for area of responsibility; processes paperwork including, reports, memos, requisitions, and personnel information. Gathers and maintains information/data to support periodic and special reports documenting activities for area (or Academy) of responsibility.
Create strong partnerships with our parents and the community to collectively improve student outcomes and the growth and viability of greater Nashville.  Utilizes effective communication skills to establish and maintain positive relationships with staff members, students, parents, and community. Attends or conducts staff, parent, PTA, and other professional meetings to exchange information; attends professional classes, seminars, or conferences to improve professional skills.
Coordinates requisitioning of supplies and equipment; conducts inventories; maintains records, and checks receipts/invoices for materials.", State certification in Administration  Required,"Ensures compliance with all legal mandates regulating school operations, students’ rights and responsibilities, communication with external agencies, parental custody, student attendance, search and seizure, and all disciplinary matters involving student conduct.
Knowing the law is the administrator’s responsibility.
Promotes a culture of quality and high performance by communicating expectations and procedures in a clear and concise manner.
Provides adequate and timely information to staff, students, and parents regarding school operations and special circumstances.
Demonstrates ability to establish positive relationships with all stakeholders by employing effective interpersonal communication skills.
Demonstrates effective public speaking skills.
Demonstrates the use of logical principles and thinking to solve practical problems in the daily operation of the school or a specific unit/department.  Addresses complex and unusual situations in a calm, composed, and logical manner.
Takes initiative, ingenuity, and creativity to address persisting or sudden problems hindering the effective operation of the school.
Analyzes the impact and ramifications of decisions made.
Effectively determines how decisions can affect units in the organization, citizens; student or staff safety, property damage and other legal liabilities"
88161,Teacher Arts Theatre,"The Teacher utilizes current strategies and theories to plan, organize and implement structured lessons to instruct K12 students.",Master's Degree from an accredited institution in a related field Preferred, Work experience gained through education and certification/license requirements Required,"Instruct students in an in-person classroom environment through lectures, discussions, visual aids, instructional strategies, and other effective teaching methods for student comprehension.
Prepares lessons and outlines to use in class that effectively cover the material.
Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Administers various types of assessments to monitor student’s comprehension of the material.
Assist students who need extra help with tutoring. Guides and counsels students with adjustment or academic problems or special academic interests.
Collaborates with other teachers and administrators to develop, evaluate, and revise academic programs following approved curricula.
Utilizes instructional technology, audio-visual aids, and other equipment and materials to enhance student learning.
Performs various administrative duties such as taking attendance, organizing the classroom, and responding to emails and phone calls from parents, school administrators, and staff in a timely manner.
Observe and evaluate students' performance, behavior, social development, and physical health.
Attends in-person faculty meetings, teacher training workshops and educational conferences to maintain and improve professional competence.
Maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations.",Teaching Certification/License From Tennessee Department of Education with applicable endorsement Upon Hire Required,"Excellent writing and communication skills
Instructional strategies that connect the curriculum to the learner
Student Management
Demonstrated ability to work well with students, staff, and parents in a professional manner
Ability to be flexible and adapt as needed between in-person learning environments.
Knowledge of school safety & security procedures
Ability to work under pressure and meet deadlines"
80221,Tech Registered Behavior,"Provide intensive behavior support services to students in-district. May work collaboratively with teachers and other support staff to implement behavior support plans for students that require consistent and significant behavioral interventions during the school day. This is not an instructional support position, although there may be some instructional support to students as needed.",High School Diploma or equivalent Required,1-3 years Previous experience working with students who require behavior support Required,"Works in conjunction with a Board-Certified Behavior Analyst (BCBA) to support students who have Behavior Intervention Plans (BIPs) by following prescribed behavioral skill acquisition and behavior reduction protocols.
Collect and submit data needed for Functional Behavioral Assessments and Behavior Intervention Plans. (BIP).
Collaborates with teachers and students by helping with variety of tasks related to instructional activities, behavior, and physical logistics. Assists in modifying classroom environment and assignments for students requiring modifications.
Provide direct student care in 1:1 and group settings utilizing a combination of intensive teaching and natural environment training arrangements; may be assigned to work with 1 to 2 specific students and/or may support students attending part time at Special Day School and part time at their school of zone
Implements students IEPs, functional behavioral assessments, safety plans, and/or behavior intervention plans; Conduct assessment of behaviors and stimulus preferences and assist students with skill acquisition.
Supervises and engages with students during arrival, dismissal, lunch, and/or other activities designated by the teacher or School Administrator
Attends and actively participates in professional development opportunities to enhance skills and understanding of special populations, may include training for proper restraint procedures, social and emotional learning best practices and literacy
Monitor student’s behavior inside and outside of the classroom and accompany
students to other locations, on or off-campus, as needed.
Facilitates and models appropriate social interactions and behaviors among students."," Registered Behavior Technician (RBT) certification, as evidenced by completion of the RBT training course and examination  Required","Thorough knowledge of the principles, practices and theories of Applied Behavioral Analysis, or Behavioral Support Interventions
Knowledge of Behavior Intervention Plans (BIPs), behavioral skill acquisition and behavior reduction protocols.
Ability to follow and practice policies related to proper procedures for restraint and seclusion and providing needed interventions.
Capable of physically intervening when students are unsafe, and maintain physical requirements listed in the job description.
Communication, and collaboration with parents, educators, students,
Student management,
Organization, data-based decision making, and problem solving,
Technology skills: Teams, Microsoft Office, Excel, SharePoint, iOS, and/or other district applications or equipment as needed."
84244,Analyst GEAR UP Nashville,"In collaboration with the GEAR UP Nashville Coordinator, this individual will assist in developing GEAR UP Nashville policies, procedures, forms, reports, and other documentation practices relative to the implementation of the GEAR UP Nashville grant.  To meet and exceed GEAR UP Nashville's grant objectives, this position will help ensure that all grant activities and services are executed with a high level of quality and precision by providing support and administrative guidance to program staff. ",Master's Degree  Preferred, Experience in public speaking Required,"The GEAR UP Nashville Analyst supports GEAR UP Nashville staff to help ensure full programmatic and fiscal implementation while providing technical assistance in support of GEAR UP Nashville goals and objectives. Collaborates with GEAR UP Nashville Coordinator to create policies/procedures, approaches and resources designed to generate successful outcomes.
Provides guidance GEAR UP Nashville Staff to ensure required student level details are collected and required data and reporting forms are entered into the GEAR UP Nashville database.   Collaborates with Data Document and Management Analyst to conduct site visits, monitors documentation binders for information that will be entered into database, and checks data for accuracy and completeness.
Assists the GEAR UP Nashville office in completion of the GEAR UP Annual Performance Report as required by the U.S. Department of Education.
Supports the GEAR UP Nashville Specialist/Advisors in the development of diverse activities and programming for GEAR UP Nashville students/parents/guardians to increase school interest and involvement, improved academic achievement, career awareness, and academic progression.  Acts as a liaison from the GEAR UP office to facilitate programming decisions.   Participates and assists in the development of day and evening school-based GEAR UP Nashville events.
Facilitates completion of annual work plan?s by outlining yearly activities, ?meeting deadlines, and ?understanding budget expenditures to ensure each site meets stated goals and objectives
Assist in identifying data-driven, student-level academic interventions to improve ?the academic readiness of GEAR UP Nashville students; work with parents, cohort schools, postsecondary institutions, state agencies, and GEAR UP Nashville partners to increase student and family knowledge of postsecondary options, testing and admission requirements, academic course planning, and financial aid.
Works with Coordinator to leverage data targeting GEAR UP Nashville academic and college access service providers to improve program implementation and monitor measurable outcomes.",,"Proficiency in Microsoft Office Suite.
Background knowledge in postsecondary success, academic success and student support, knowledge and understanding of Federal and State laws and regulations and District policies and procedures preferred.
Proficiency in Microsoft Office Suite.
Ability to synthesize data and find trends.
Attention to detail and skilled in seeing data anomalies, finding errors and improving processes.
Ability to work collaboratively with wide range of staff, share ideas and learn from others."
86810,Skilled Laborer Plumbing,"Assemble, install, or repair pipes, fittings, or fixtures of heating water, water, or drainage systems, according to specifications or plumbing codes. Reviews blueprints, building codes, or specification to determine work details or procedures.",High School Diploma or GED Required, 1-2 years’ applicable experience in plumbing system maintenance and repair which provides basic plumbing knowledge including; 1) working with various tools and materials and 2) Using ASSE requirements Required,"Assembles pipe sections, tubing, or fittings using couplings, clamps, screws, bolts, cement, plastic solvent, caulking, or soldering, brazing, or welding equipment.
Installs pipe assemblies, fittings, valves, appliances such as dishwashers or water heater, or fixtures such as sinks or toilets, using hand or power tools. Anchors steel supports from ceiling joists to hold pipes in place.
Keeps records of work assignments.
Fills pipes or plumbing fixtures with water or air and observe pressure gauges to detect and locate leaks.
Assists lead plumber in pipe cutting, preassembly, and/or installation of plumbing systems or components.
Maintains and/or repairs plumbing by replacing defective washers, replacing or mending broken pipes, or opening clogged drains.
Locates and marks the position of pipe installations, connections, passage holes, or fixtures in structures, using measuring instruments such as rulers or levels.
Measures, cuts, threads, and/or bends pipe to required angle, using hand or power tools or machines such as pipe cutters, pipe-threading machines, or pipe-bending machines.","DL NUMBER - Driver License, Valid and in State   Required
 Plumbing License  Preferred
 Plumbing Service and/or Backflow Prevention Certification  Preferred","Active Listening, Learning Strategies, Troubleshooting, Equipment Selection, Repairing, Judgement, and Decision Making, Time Management, Coordination"
